,repo_name,counts
0,AutoViz,4
1,Auto_ViML,4
2,ColossalAI,6
3,DIGITS,5
4,LightGBM,2
5,PyTorchCV,2
6,ViZDoom,1
7,aim,1
8,bentoml,3
9,blaze,2
10,bokeh,1
11,catboost,72
12,cornac,1
13,danswerai,11
14,deepface,4
15,detectron2,2
16,determined,1
17,evidently,1
18,face_recognition,4
19,fastapi,2
20,feast,1
21,gan,1
22,joliGEN,1
23,litellm,14
24,machine-learning,15
25,mindsdb,7
26,mlflow,2
27,nalp,1
28,numpy,1
29,open-webui,12
30,pattern,1
31,pyss3,1
32,pytensor,1
33,pytorch,4
34,pytorch-lightning,3
35,pytorch_geometric,16
36,rasa,4
37,ray,33
38,sinabs,1
39,spaCy,1
40,spammy,1
41,superset,4
