codeql_run_conclusion,codeql_run_status,codeql_run_url,codeql_yml_fixed,default_branch,dependabot_run_conclusion,dependabot_run_status,dependabot_run_url,dependabot_yml_fixed,empty_commit_pushed,repo,semgrep_dispatched,semgrep_run_conclusion,semgrep_run_status,semgrep_run_url
,queued,https://github.com/fcas/Auto_ViML/actions/runs/31818100894,True,master,,queued,https://github.com/fcas/Auto_ViML/actions/runs/31818103487,True,not-needed,Auto_ViML,True,,queued,https://github.com/fcas/Auto_ViML/actions/runs/31818100068
,queued,https://github.com/fcas/pytorch-frame/actions/runs/31818115126,True,master,,queued,https://github.com/fcas/pytorch-frame/actions/runs/31817289965,True,not-needed,pytorch-frame,True,,queued,https://github.com/fcas/pytorch-frame/actions/runs/31818114416
,queued,https://github.com/fcas/scikit-opt/actions/runs/31818128668,True,master,,,,True,not-needed,scikit-opt,True,,queued,https://github.com/fcas/scikit-opt/actions/runs/31818128373
,queued,https://github.com/fcas/einops/actions/runs/31818142223,True,master,,,,True,not-needed,einops,True,,queued,https://github.com/fcas/einops/actions/runs/31818141849
,queued,https://github.com/fcas/emcee/actions/runs/31818156218,True,main,,,,True,not-needed,emcee,True,,queued,https://github.com/fcas/emcee/actions/runs/31818155247
,queued,https://github.com/fcas/pytorch_geometric_temporal/actions/runs/31818169393,True,master,,,,True,not-needed,pytorch_geometric_temporal,True,,queued,https://github.com/fcas/pytorch_geometric_temporal/actions/runs/31818169140
,queued,https://github.com/fcas/python-timbl/actions/runs/31818184446,True,master,,,,True,not-needed,python-timbl,True,,queued,https://github.com/fcas/python-timbl/actions/runs/31818182786
,queued,https://github.com/fcas/catboost/actions/runs/31818197906,True,master,,queued,https://github.com/fcas/catboost/actions/runs/31818202907,True,not-needed,catboost,True,,queued,https://github.com/fcas/catboost/actions/runs/31818197394
,queued,https://github.com/fcas/skorch/actions/runs/31818212230,True,master,failure,completed,https://github.com/fcas/skorch/actions/runs/21729328013,True,not-needed,skorch,True,,queued,https://github.com/fcas/skorch/actions/runs/31818211850
,queued,https://github.com/fcas/CompreFace/actions/runs/31818226744,True,master,,queued,https://github.com/fcas/CompreFace/actions/runs/31818231696,True,not-needed,CompreFace,True,,queued,https://github.com/fcas/CompreFace/actions/runs/31818226324
,queued,https://github.com/fcas/alibi-detect/actions/runs/31818242282,True,master,,queued,https://github.com/fcas/alibi-detect/actions/runs/31818247076,True,not-needed,alibi-detect,True,,queued,https://github.com/fcas/alibi-detect/actions/runs/31818241374
,queued,https://github.com/fcas/pytensor/actions/runs/31818256970,True,main,,,,True,not-needed,pytensor,True,,queued,https://github.com/fcas/pytensor/actions/runs/31818255920
,queued,https://github.com/fcas/tflearn/actions/runs/31818270146,True,master,,,,True,not-needed,tflearn,True,,queued,https://github.com/fcas/tflearn/actions/runs/31818269869
,queued,https://github.com/fcas/scikit-plot/actions/runs/31818284619,True,master,,,,True,not-needed,scikit-plot,True,,queued,https://github.com/fcas/scikit-plot/actions/runs/31818284090
