,repo_name,counts
0,BioPy,10
1,ColossalAI,292
2,CompreFace,2
3,CoreNLP,7
4,DI-engine,6
5,DIGITS,81
6,DeepPavlov,45
7,DrQA,35
8,FEDOT,3
9,Gymnasium,1
10,LightGBM,7
11,Metaworld,1
12,Neural,1
13,NeuroNER,6
14,Parris,1
15,Petrel,6
16,PySyft,34
17,PyTorchCV,243
18,Spearmint,2
19,SynapseML,15
20,ViZDoom,25
21,aim,61
22,alibi-detect,1
23,altair,3
24,autogluon,68
25,bentoml,39
26,bigartm,56
27,blaze,11
28,bokeh,12
29,bolt,3
30,bowtie,4
31,caffe,30
32,catalyst,6
33,catboost,349
34,chainer,88
35,cleanlab,1
36,cltk,2
37,colibri-core,8
38,comet-llm,4
39,cornac,5
40,cortex,11
41,couler,1
42,danswerai,37
43,dash,31
44,deepchecks,3
45,deepface,17
46,deeplake,16
47,deeppy,35
48,detectron2,22
49,determined,104
50,dirty_cat,1
51,dowel,1
52,dtaidistance,3
53,emcee,3
54,evidently,1
55,face_recognition,2
56,fastapi,1
57,feast,22
58,garage,1
59,gensim,41
60,ggpy,2
61,gradio,132
62,haystack,3
63,hebel,22
64,igel,3
65,jProcessing,7
66,jax,91
67,jieba,10
68,joliGEN,120
69,keras-tuner,4
70,lab,1
71,lambdo,2
72,langflow,141
73,langfuse,20
74,lightly,15
75,lightning-bolts,2
76,lightwood,1
77,loso,1
78,machine-learning,18
79,mars,28
80,matplotlib,34
81,maze,3
82,mindsdb,94
83,mlens,16
84,mlflow,424
85,mljar-supervised,3
86,mlx,3
87,mlxtend,17
88,neural-style-pt,2
89,neuraltalk,8
90,neuraltalk2,2
91,neuropredict,32
92,nilearn,1
93,numpy,80
94,nut,6
95,open-metric-learning,30
96,open-webui,95
97,optuna,21
98,pattern,4
99,pebl,4
100,pgmpy,7
101,pkuseg-python,10
102,polyglot,22
103,prodmodel,5
104,pybrain,4
105,pydantic,5
106,pymc,2
107,pynlpl,50
108,pyqtgraph,14
109,pyss3,31
110,pytensor,2
111,python-recsys,13
112,python-timbl,10
113,pytorch,938
114,pytorch-frame,20
115,pytorch-image-models,67
116,pytorch-lightning,12
117,pytorch_geometric,113
118,rasa,17
119,ray,515
120,recommenders,3
121,retinaface,6
122,retro,51
123,river,17
124,rosetta,2
125,scikit-image,9
126,scikit-learn,75
127,scikit-learn-intelex,38
128,scikit-opt,1
129,scikit-survival,2
130,seaborn,11
131,shogun,42
132,skll,230
133,skorch,4
134,sktime,7
135,somoclu,4
136,spaCy,1
137,statsmodels,20
138,stellargraph,4
139,streamlit,35
140,superset,21
141,tensorflow,574
142,tesseract,1
143,textacy,33
144,tpot,7
145,transformers,805
146,typer,26
147,vigra,14
148,vispy,17
149,xcessiv,4
150,xgboost,46
151,xlearn,14
152,yalign,1
153,zipline,20
154,zpar,171
