,nature,type,id,description,cwe_counts,cwe_id
0,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,4,502
1,PeerOf,base,915,Improperly Controlled Modification of Dynamically-Determined Object Attributes,4,502
2,MemberOf,category,399,Resource Management Errors,4,502
3,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,4,502
4,MemberOf,category,1019,Validate Inputs,4,502
5,MemberOf,category,858,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 15 - Serialization (SER),4,502
6,MemberOf,view,884,CWE Cross-section,4,502
7,MemberOf,category,994,SFP Secondary Cluster: Tainted Input to Variable,4,502
8,MemberOf,category,1034,OWASP Top Ten 2017 Category A8 - Insecure Deserialization,4,502
9,MemberOf,category,1148,SEI CERT Oracle Secure Coding Standard for Java - Guidelines 14. Serialization (SER),4,502
10,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,4,502
11,MemberOf,category,1308,CISQ Quality Measures - Security,4,502
12,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,4,502
13,MemberOf,view,1340,CISQ Data Protection Measures,4,502
14,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,4,502
15,MemberOf,category,1354,OWASP Top Ten 2021 Category A08:2021 - Software and Data Integrity Failures,4,502
16,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,4,502
17,MemberOf,category,1415,Comprehensive Categorization: Resource Control,4,502
18,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,4,502
19,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,4,502
20,MemberOf,view,1435,Weaknesses in the 2025 CWE Top 25 Most Dangerous Software Weaknesses,4,502
21,MemberOf,category,1443,OWASP Top Ten 2025 Category A08:2025 - Software or Data Integrity Failures,4,502
22,MemberOf,category,1447,General Software Weaknesses that Appear in Products that Use or Support AI/ML Technology,4,502
23,Self,base,502,,4,502
0,ChildOf,pillar,682,Incorrect Calculation,2,190
1,ParentOf,chain,680,Integer Overflow to Buffer Overflow,2,190
2,PeerOf,base,128,Wrap-around Error,2,190
3,PeerOf,base,1339,Insufficient Precision or Accuracy of a Real Number,2,190
