repo,has_dependabot_yml,pip_directories,root_has_manifest,issue
AutoViz,yes,/,/:ok,
Auto_ViML,yes,/,/:ok,
BayesPy,yes,/,/:ok,
BioPy,yes,/,/:ok,
ColossalAI,yes,/,/:ok,
CompreFace,yes,/,/:MISSING,declared pip directory has no manifest file
CoreNLP,yes,/,/:MISSING,declared pip directory has no manifest file
DI-engine,yes,/,/:ok,
DIGITS,yes,/,/:ok,
DeepPavlov,yes,/,/:ok,
DrQA,yes,/,/:ok,
FEDOT,yes,/,/:ok,
GreatCircle,yes,/,/:MISSING,declared pip directory has no manifest file
Gymnasium,yes,/,/:ok,
IoT-Owl,yes,/,/:ok,
Lasagne,yes,/,/:ok,
LightGBM,yes,/,/:ok,
Metaworld,yes,/,/:ok,
Neural,yes,/,/:ok,
Neuraxle,yes,/,/:ok,
NeuroNER,yes,/,/:ok,
PCV,yes,/,/:ok,
Parris,yes,/,/:ok,
Petrel,yes,/,/:ok,
PyStanfordDependencies,yes,/,/:ok,
PySyft,yes,/,/:ok,
PyTorchCV,yes,/,/:ok,
Pyevolve,yes,/,/:ok,
SOMPY,yes,/,/:ok,
Sklearn-genetic-opt,yes,/,/:ok,
Spearmint,yes,/,/:ok,
SynapseML,yes,/,/:ok,
TResNet,yes,/,/:ok,
ViZDoom,yes,/,/:ok,
aim,yes,/,/:ok,
alibi,yes,/,/:ok,
alibi-detect,yes,/,/:ok,
altair,yes,/,/:ok,
annoy,yes,/,/:ok,
autogluon,yes,/,/:ok,
backprop,yes,/,/:ok,
bayeso,yes,/,/:ok,
bentoml,yes,/,/:ok,
bigartm,yes,/,/:ok,
blaze,yes,/,/:ok,
bokeh,yes,/,/:ok,
bolt,yes,/,/:ok,
bowtie,yes,/,/:ok,
bqplot,yes,/,/:ok,
breze,yes,/,/:ok,
bytehub,yes,/,/:ok,
caffe,yes,/,/:ok,
catalyst,yes,/,/:ok,
catboost,yes,/,/:ok,
chainer,yes,/,/:ok,
chefboost,yes,/,/:ok,
chemicalx,yes,/,/:ok,
cleanlab,yes,/,/:ok,
climin,yes,/,/:ok,
cltk,yes,/,/:ok,
colibri-core,yes,/,/:ok,
comet-llm,yes,/,/:ok,
convnet-benchmarks,yes,/,/:ok,
cornac,yes,/,/:ok,
cortex,yes,/,/:MISSING,declared pip directory has no manifest file
couler,yes,/,/:ok,
crab,yes,/,/:ok,
d3py,yes,/,/:ok,
danswerai,yes,/,/:ok,
dash,yes,/,/:ok,
datacompy,yes,/,/:ok,
deap,yes,/,/:ok,
dedupe,yes,/,/:ok,
deep-learning-project-template,yes,/,/:ok,
deepchecks,yes,/,/:ok,
deepface,yes,/,/:ok,
deeplake,yes,/,/:MISSING,declared pip directory has no manifest file
deeppy,yes,/,/:ok,
detecto,yes,/,/:ok,
detectron2,yes,/,/:ok,
determined,yes,/,/:ok,
dirty_cat,yes,/,/:ok,
distance,yes,/,/:ok,
dl-translate,yes,/,/:ok,
dora,yes,/,/:ok,
dowel,yes,/,/:ok,
dtaidistance,yes,/,/:ok,
einops,yes,/,/:ok,
emcee,yes,/,/:ok,
eurybia,yes,/,/:ok,
evidently,yes,/,/:ok,
evostra,yes,/,/:ok,
face_recognition,yes,/,/:ok,
fastapi,yes,/,/:ok,
feast,yes,/,/:ok,
featureforge,yes,/,/:ok,
frouros,yes,/,/:ok,
gan,yes,/,/:ok,
garage,yes,/,/:ok,
gensim,yes,/,/:ok,
ggpy,yes,/,/:ok,
gradio,yes,/,/:ok,
gym,yes,/,/:ok,
haystack,yes,/,/:ok,
hdbscan,yes,/,/:ok,
hebel,yes,/,/:ok,
hyperopt-sklearn,yes,/,/:ok,
igel,yes,/,/:ok,
imbalanced-ensemble,yes,/,/:ok,
imutils,yes,/,/:ok,
ipychart,yes,/,/:ok,
jProcessing,yes,/,/:ok,
jax,yes,/,/:ok,
jellyfish,yes,/,/:ok,
jieba,yes,/,/:ok,
joliGEN,yes,/,/:ok,
karateclub,yes,/,/:ok,
keras,yes,/,/:ok,
keras-tuner,yes,/,/:ok,
lab,yes,/,/:ok,
lambdo,yes,/,/:ok,
langflow,yes,/,/:ok,
langfuse,yes,/,/:MISSING,declared pip directory has no manifest file
learnergy,yes,/,/:ok,
lifelines,yes,/,/:ok,
lightly,yes,/,/:ok,
lightning-bolts,yes,/,/:ok,
lightwood,yes,/,/:ok,
lime,yes,/,/:ok,
litellm,yes,/,/:ok,
littleballoffur,yes,/,/:ok,
loso,yes,/,/:ok,
lucent,yes,/,/:ok,
machine-learning,yes,/,/:ok,
mars,yes,/,/:ok,
matplotlib,yes,/,/:ok,
maze,yes,/,/:ok,
metric-learn,yes,/,/:ok,
mindsdb,yes,/,/:ok,
minigrad,yes,/,/:ok,
miraiml,yes,/,/:ok,
mist,yes,/,/:ok,
mlens,yes,/,/:ok,
mlflow,yes,/,/:ok,
mljar-supervised,yes,/,/:ok,
mlx,yes,/,/:ok,
mlxtend,yes,/,/:ok,
modAL,yes,/,/:ok,
nalp,yes,/,/:ok,
neofuzz,yes,/,/:ok,
neural-style-pt,yes,/,/:ok,
neuraltalk,yes,/,/:ok,
neuraltalk2,yes,/,/:MISSING,declared pip directory has no manifest file
neurolab,yes,/,/:ok,
neuropredict,yes,/,/:ok,
nilearn,yes,/,/:ok,
nn_builder,yes,/,/:ok,
notebook,yes,/,/:ok,
numpy,yes,/,/:ok,
numpy-ml,yes,/,/:ok,
nupic.studio,yes,/,/:ok,
nut,yes,/,/:ok,
open-metric-learning,yes,/,/:ok,
open-webui,yes,/,/:ok,
openpose,yes,/,/:MISSING,declared pip directory has no manifest file
opfython,yes,/,/:ok,
optuna,yes,/,/:ok,
opytimizer,yes,/,/:ok,
pandas,yes,/,/:ok,
paramonte,yes,/,/:ok,
pastalog,yes,/,/:ok,
pattern,yes,/,/:ok,
pebl,yes,/,/:ok,
pgmpy,yes,/,/:ok,
pix2pix-keras,yes,/,/:ok,
pkuseg-python,yes,/,/:ok,
polyglot,yes,/,/:ok,
pomegranate,yes,/,/:ok,
prodmodel,yes,/,/:ok,
pybrain,yes,/,/:ok,
pybroker,yes,/,/:ok,
pycm,yes,/,/:ok,
pydantic,yes,/,/:ok,
pydexter,yes,/,/:ok,
pyhsmm,yes,/,/:ok,
pymc,yes,/,/:ok,
pynlpl,yes,/,/:ok,
pyod,yes,/,/:ok,
pyqtgraph,yes,/,/:ok,
pyss3,yes,/,/:ok,
pytensor,yes,/,/:ok,
pytesseract,yes,/,/:ok,
python-frog,yes,/,/:ok,
python-neuron,yes,/,/:MISSING,declared pip directory has no manifest file
python-recsys,yes,/,/:ok,
python-timbl,yes,/,/:ok,
python-ucto,yes,/,/:ok,
pytorch,yes,/,/:ok,
pytorch-frame,yes,/,/:ok,
pytorch-image-models,yes,/,/:ok,
pytorch-lightning,yes,/,/:ok,
pytorch_geometric,yes,/,/:ok,
pytorch_geometric_temporal,yes,/,/:ok,
quepy,yes,/,/:ok,
rasa,yes,/,/:ok,
ray,yes,/,/:ok,
recommenders,yes,/,/:ok,
rep,yes,/,/:ok,
retinaface,yes,/,/:ok,
retro,yes,/,/:ok,
rexmex,yes,/,/:ok,
rgf,yes,/,/:ok,
river,yes,/,/:ok,
rockpool,yes,/,/:ok,
rosetta,yes,/,/:ok,
scikit-image,yes,/,/:ok,
scikit-learn,yes,/,/:ok,
scikit-learn-intelex,yes,/,/:ok,
scikit-multiflow,yes,/,/:ok,
scikit-opt,yes,/,/:ok,
scikit-plot,yes,/,/:ok,
scikit-survival,yes,/,/:ok,
seaborn,yes,/,/:ok,
segmentation_models,yes,/,/:ok,
segmentation_models.pytorch,yes,/,/:ok,
sentiment-analyzer,yes,/,/:ok,
sentiment_classifier,yes,/,/:ok,
sequitur,yes,/,/:ok,
shapash,yes,/,/:ok,
shapley,yes,/,/:ok,
shogun,yes,/,/:ok,
simpleai,yes,/,/:ok,
sinabs,yes,/,/:ok,
skbel,yes,/,/:ok,
sklearn-bayes,yes,/,/:ok,
skll,yes,/,/:ok,
skorch,yes,/,/:ok,
sktime,yes,/,/:ok,
snips-nlu,yes,/,/:ok,
snownlp,yes,/,/:ok,
somoclu,yes,/,/:ok,
spaCy,yes,/,/:ok,
spammy,yes,/,/:ok,
sparklingpandas,yes,/,/:ok,
stacked_generalization,yes,/,/:ok,
stanford-corenlp-python,yes,/,/:ok,
statsmodels,yes,/,/:ok,
stellargraph,yes,/,/:ok,
streamlit,yes,/,/:ok,
suiron,yes,/,/:ok,
superset,yes,/,/:ok,
sympy,yes,/,/:ok,
synthia,yes,/,/:ok,
tdb,yes,/,/:ok,
tensorflow,yes,/,/:ok,
tensorwatch,yes,/,/:ok,
tesseract,yes,/,/:ok,
textacy,yes,/,/:ok,
tflearn,yes,/,/:ok,
topicwizard,yes,/,/:ok,
tpot,yes,/,/:ok,
transformers,yes,/,/:ok,
typer,yes,/,/:ok,
upgini,yes,/,/:ok,
vigra,yes,/,/:MISSING,declared pip directory has no manifest file
vispy,yes,/,/:ok,
visualize_ML,yes,/,/:ok,
xcessiv,yes,/,/:ok,
xgboost,yes,/,/:ok,
xlearn,yes,/,/:ok,
yalign,yes,/,/:ok,
zipline,yes,/,/:ok,
zpar,yes,/,/:MISSING,declared pip directory has no manifest file
