,repo_name,counts
0,ColossalAI,28
1,CompreFace,8
2,DIGITS,8
3,DeepPavlov,2
4,FEDOT,3
5,NeuroNER,12
6,Petrel,2
7,aim,5
8,backprop,6
9,blaze,7
10,chemicalx,2
11,cleanlab,1
12,cornac,12
13,cortex,17
14,danswerai,9
15,detecto,4
16,detectron2,2
17,determined,5
18,dirty_cat,1
19,evidently,1
20,feast,21
21,garage,2
22,gensim,1
23,gradio,4
24,igel,11
25,joliGEN,1
26,langflow,1
27,lightning-bolts,1
28,lightwood,1
29,litellm,1
30,matplotlib,1
31,minigrad,8
32,mlens,1
33,mlflow,51
34,nn_builder,15
35,nupic.studio,5
36,open-webui,4
37,pix2pix-keras,8
38,rasa,5
39,ray,20
40,rep,2
41,rockpool,1
42,snips-nlu,1
43,spammy,2
44,sparklingpandas,1
45,stellargraph,8
46,suiron,4
47,tpot,2
48,zipline,5
