repo,in_scope,top_language,dependabot_updates_ran,dependabot_updates_status,dependabot_updates_date,dependency_graph_ran,dependency_graph_status,dependency_graph_date,reason
AutoViz,yes,Python,yes,success,2026-08-14T16:40:25Z,yes,success,2026-08-14T22:15:27Z,ok
Auto_ViML,yes,Python,yes,success,2026-08-14T16:10:50Z,yes,success,2026-08-14T15:22:04Z,ok
BayesPy,yes,HTML,failed,failure,2026-08-14T16:25:05Z,yes,success,2026-08-15T09:38:12Z,ok (via Dependency Graph)
BioPy,yes,Python,yes,success,2026-08-14T16:50:28Z,yes,success,2026-08-14T22:15:31Z,ok
ColossalAI,yes,Python,yes,success,2026-08-14T22:16:24Z,yes,success,2026-08-14T22:13:07Z,ok
DI-engine,yes,Python,failed,failure,2026-08-15T10:18:48Z,yes,success,2026-08-14T22:13:22Z,ok (via Dependency Graph)
DIGITS,yes,HTML,failed,failure,2026-08-15T10:38:56Z,yes,success,2026-08-14T22:15:58Z,ok (via Dependency Graph)
DeepPavlov,yes,Python,failed,failure,2026-08-15T10:35:48Z,yes,success,2026-08-14T15:42:22Z,ok (via Dependency Graph)
DrQA,yes,Python,not-provisioned,n/a,,yes,success,2026-08-14T22:16:01Z,ok (via Dependency Graph)
FEDOT,yes,Python,yes,success,2026-08-14T16:05:39Z,yes,success,2026-08-14T15:35:22Z,ok
Gymnasium,yes,Python,not-provisioned,n/a,,yes,success,2026-08-15T14:43:52Z,ok (via Dependency Graph)
IoT-Owl,yes,Python,not-provisioned,n/a,,yes,success,2026-08-15T14:46:28Z,ok (via Dependency Graph)
Lasagne,yes,Python,failed,failure,2026-08-15T10:23:34Z,yes,success,2026-08-14T22:16:18Z,ok (via Dependency Graph)
LightGBM,yes,C++,yes,success,2026-08-15T10:22:03Z,yes,success,2026-08-14T15:30:36Z,ok
Metaworld,yes,Python,not-provisioned,n/a,,yes,success,2026-08-14T15:39:55Z,ok (via Dependency Graph)
Neural,yes,Python,failed,failure,2026-08-15T10:42:43Z,yes,success,2026-08-14T22:16:33Z,ok (via Dependency Graph)
Neuraxle,yes,Python,failed,failure,2026-08-15T10:30:30Z,yes,success,2026-08-14T22:16:39Z,ok (via Dependency Graph)
NeuroNER,yes,Python,failed,failure,2026-08-15T10:44:40Z,yes,success,2026-08-15T08:49:55Z,ok (via Dependency Graph)
PCV,yes,Python,not-provisioned,n/a,,yes,success,2026-08-14T22:14:23Z,ok (via Dependency Graph)
Parris,yes,Python,not-provisioned,n/a,,yes,success,2026-08-14T22:16:49Z,ok (via Dependency Graph)
