repo,fork_branch,upstream_branch,status,detail
Auto_ViML,master,master,none,
pytorch-frame,master,main,none,
scikit-opt,master,master,none,
einops,master,main,none,
emcee,main,main,none,
pytorch_geometric_temporal,master,master,none,
python-timbl,master,master,none,
catboost,master,master,none,
skorch,master,master,none,
CompreFace,master,master,none,
alibi-detect,master,master,none,
pytensor,main,main,none,
tflearn,master,master,none,
scikit-plot,master,master,none,
pebl,master,master,none,
pytorch-lightning,master,master,none,
python-frog,master,master,none,
synthia,master,master,none,
mlflow,master,master,none,
cornac,master,master,conflict,"['.circleci/config.yml', 'README.md', 'cornac/__init__.py', 'cornac/data/__init__.py', 'cornac/data/dataset.py', 'cornac/data/text.py', 'cornac/datasets/README.md', 'cornac/datasets/__init__.py', 'cornac/datasets/epinions.py', 'cornac/datasets/gowalla.py', 'cornac/datasets/movielens.py', 'cornac/datasets/tafeng.py', 'cornac/datasets/yoochoose.py', 'cornac/eval_methods/__init__.py', 'cornac/eval_methods/next_item_evaluation.py', 'cornac/hyperopt.py', 'cornac/metrics/ranking.py', 'cornac/models/__init__.py', 'cornac/models/beacon/recom_beacon.py', 'cornac/models/bivaecf/bivae.py', 'cornac/models/bpr/__init__.py', 'cornac/models/bpr/recom_bpr.pyx', 'cornac/models/bpr/recom_wbpr.pyx', 'cornac/models/cdl/recom_cdl.py', 'cornac/models/comparer/recom_comparer_sub.pyx', 'cornac/models/ctr/ctr.py', 'cornac/models/cvae/recom_cvae.py', 'cornac/models/cvaecf/cvaecf.py', 'cornac/models/cvaecf/recom_cvaecf.py', 'cornac/models/ease/recom_ease.py', 'cornac/models/gru4rec/gru4rec.py', 'cornac/models/gru4rec/recom_gru4rec.py', 'cornac/models/hrdr/hrdr.py', 'cornac/models/hrdr/recom_hrdr.py', 'cornac/models/hrdr/requirements.txt', 'cornac/models/hypar/dgl_utils.py', 'cornac/models/hypar/hypar.py', 'cornac/models/hypar/recom_hypar.py', 'cornac/models/hypar/requirements.txt', 'cornac/models/knn/recom_knn.py', 'cornac/models/lrppm/recom_lrppm.pyx', 'cornac/models/mf/backend_cpu.pyx', 'cornac/models/mf/recom_mf.py', 'cornac/models/narre/narre.py', 'cornac/models/narre/recom_narre.py', 'cornac/models/narre/requirements.txt', 'cornac/models/ncf/backend_pt.py', 'cornac/models/ncf/backend_tf.py', 'cornac/models/ncf/recom_gmf.py', 'cornac/models/ncf/recom_mlp.py', 'cornac/models/ncf/recom_ncf_base.py', 'cornac/models/ncf/recom_neumf.py', 'cornac/models/ncf/requirements.txt', 'cornac/models/pcrl/pcrl.py', 'cornac/models/pmf/recom_pmf.py', 'cornac/models/recommender.py', 'cornac/models/trirank/recom_trirank.py', 'cornac/models/vaecf/recom_vaecf.py', 'cornac/models/vaecf/vaecf.py', 'cornac/models/wmf/recom_wmf.py', 'cornac/serving/app.py', 'cornac/utils/common.py', 'cornac/utils/download.py', 'docs/source/api_ref/eval_methods.rst', 'docs/source/api_ref/models.rst', 'docs/source/conf.py', 'docs/source/index.rst', 'docs/source/user/iamadeveloper.rst', 'docs/source/user/iamaresearcher.rst', 'examples/README.md', 'pytest.ini', 'requirements.txt', 'setup.py', 'tests/cornac/data/test_dataset.py', 'tests/cornac/data/test_text.py', 'tests/cornac/eval_methods/test_next_item_evaluation.py', 'tests/cornac/models/test_recommender.py', 'tests/cornac/test_hyperopt.py', 'tests/cornac/utils/test_common.py']"
DI-engine,main,main,none,
face_recognition,master,master,none,
zipline,master,master,none,
detecto,master,master,none,
streamlit,develop,develop,none,
matplotlib,main,main,none,
lifelines,master,master,none,
lightwood,staging,main,none,
ViZDoom,master,main,none,
xgboost,master,master,none,
feast,master,master,none,
ipychart,master,master,none,
altair,main,main,none,
nupic.studio,master,master,none,
pomegranate,master,master,none,
nut,master,master,none,
pytorch_geometric,master,master,none,
joliGEN,master,master,none,
pynlpl,master,master,none,
jellyfish,main,main,none,
stacked_generalization,master,master,none,
shapley,master,master,none,
LightGBM,master,main,none,
detectron2,main,main,none,
imbalanced-ensemble,main,main,none,
skbel,main,main,none,
aim,main,main,none,
ray,master,master,synced,2
stanford-corenlp-python,master,master,none,
scikit-learn,main,main,none,
crab,master,master,none,
autogluon,master,master,none,
neurolab,master,master,none,
statsmodels,main,main,none,
Lasagne,master,master,none,
Sklearn-genetic-opt,master,master,none,
shogun,develop,develop,none,
pytesseract,master,master,none,
sentiment-analyzer,master,master,none,
retro,master,master,none,
sequitur,master,master,none,
rexmex,main,main,none,
topicwizard,main,main,none,
neofuzz,main,main,none,
segmentation_models.pytorch,master,main,none,
dowel,master,master,none,
optuna,master,master,none,
river,main,main,none,
pandas,main,main,none,
snownlp,master,master,none,
suiron,master,master,none,
jax,main,main,synced,2
pyqtgraph,master,master,none,
colibri-core,master,master,none,
neuraltalk2,master,master,none,
chainer,master,master,none,
rgf,master,master,none,
vigra,master,master,none,
BayesPy,master,master,none,
shapash,master,master,none,
dirty_cat,main,main,none,
bentoml,main,main,none,
openpose,master,master,none,
deepchecks,main,main,none,
gensim,develop,develop,none,
rep,master,master,none,
simpleai,master,master,none,
cortex,master,master,none,
gan,master,master,none,
caffe,master,master,none,
cleanlab,master,master,none,
mlxtend,master,master,none,
tesseract,main,main,none,
SynapseML,master,master,none,
SOMPY,master,master,none,
eurybia,master,master,none,
FEDOT,master,master,none,
lightly,master,master,none,
mljar-supervised,master,master,none,
deeppy,master,master,none,
mindsdb,main,main,none,
alibi,master,master,none,
sparklingpandas,master,master,none,
spaCy,master,master,none,
pybroker,master,master,none,
jProcessing,master,master,none,
retinaface,master,master,none,
neuraltalk,master,master,none,
pytorch-image-models,main,main,none,
tdb,master,master,none,
mlx,main,main,none,
scikit-learn-intelex,main,main,none,
deeplake,main,main,none,
minigrad,master,master,none,
Neuraxle,master,master,none,
dedupe,main,main,none,
segmentation_models,master,master,none,
stellargraph,develop,develop,none,
pix2pix-keras,master,master,none,
miraiml,master,master,none,
upgini,main,main,none,
xcessiv,master,master,none,
pytorch,main,main,synced,2
convnet-benchmarks,master,master,none,
frouros,main,main,none,
bytehub,master,master,none,
somoclu,master,master,none,
nn_builder,master,master,none,
pattern,master,master,none,
tensorwatch,master,master,none,
hebel,master,master,none,
notebook,main,main,none,
visualize_ML,master,master,none,
pyhsmm,master,master,none,
GreatCircle,master,master,none,
pyod,master,master,none,
Metaworld,master,main,none,
chefboost,master,master,none,
dtaidistance,master,master,none,
couler,master,master,none,
distance,master,master,none,
igel,master,master,none,
bowtie,master,master,none,
keras,master,master,none,
determined,main,main,none,
prodmodel,master,master,none,
bokeh,branch-3.5,branch-4.0,synced,2
PCV,master,master,none,
PyTorchCV,master,master,none,
comet-llm,main,main,conflict,"fatal: refusing to merge unrelated histories
"
metric-learn,master,master,none,
sktime,main,main,none,
bayeso,main,main,none,
maze,main,main,none,
nilearn,main,main,none,
quepy,develop,develop,none,
DeepPavlov,master,master,none,
deepface,master,master,none,
dl-translate,main,main,none,
mist,master,master,none,
garage,master,master,none,
neuropredict,master,master,none,
gradio,main,main,none,
AutoViz,master,master,none,
pybrain,master,master,none,
skll,main,main,none,
backprop,main,main,none,
dash,dev,dev,synced,2501
keras-tuner,master,master,none,
seaborn,master,master,none,
climin,master,master,none,
pastalog,master,master,none,
typer,master,master,none,
littleballoffur,master,master,none,
lab,master,master,none,
Petrel,master,master,none,
haystack,main,main,none,
Parris,master,master,none,
rockpool,develop,develop,synced,1303
evostra,master,master,none,
bigartm,master,master,none,
deep-learning-project-template,master,master,none,
loso,master,master,none,
python-ucto,master,master,none,
pgmpy,dev,dev,none,
jieba,master,master,none,
scikit-image,main,main,none,
DIGITS,master,master,none,
polyglot,master,master,none,
xlearn,master,master,none,
deap,master,master,none,
annoy,main,main,none,
rasa,main,3.6.x,conflict,"['README.md', 'poetry.lock', 'pyproject.toml', 'rasa/version.py']"
bqplot,master,master,none,
sklearn-bayes,master,master,none,
