,type,id,description,Unnamed: 0,cwe_counts,libraries,repos
0,base,15,External Control of System or Configuration Setting,1560,559,"aiohttp, flask, gitpython, gradio, ipython, jupyterlab, litestar, mlflow, oauthlib, onnx, pillow, pip, python-multipart, pyyaml, starlette, tensorflow, tensorflow-gpu, transformers, ujson, uv, werkzeug","aim, altair, auto_viml, autoviz, backprop, blaze, bokeh, cleanlab, cltk, colossalai, compreface, cornac, cortex, danswerai, deeppavlov, determined, digits, evidently, fastapi, feast, gradio, igel, langflow, lightly, lightwood, matplotlib, mindsdb, mlflow, nalp, neuroner, nn_builder, numpy, open-webui, pattern, pix2pix-keras, pydantic, pysyft, pytensor, pytorch, pytorchcv, rasa, ray, retro, spammy, streamlit, superset, transformers, vizdoom, zipline"
1,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),1067,50049,"aiohttp, docling, flask, gitpython, gradio, ipython, jupyterlab, keras, litestar, mlflow, nbconvert, nltk, oauthlib, onnx, pillow, pip, python-multipart, pyyaml, starlette, tensorflow, tensorflow-gpu, transformers, ujson, unstructured, uv, werkzeug","aim, alibi-detect, altair, auto_viml, autogluon, autoviz, backprop, bentoml, bigartm, biopy, blaze, bokeh, bolt, caffe, catalyst, catboost, chainer, cleanlab, cltk, colibri-core, colossalai, compreface, corenlp, cornac, cortex, danswerai, dash, deepchecks, deepface, deeplake, deeppavlov, deeppy, detectron2, determined, di-engine, digits, dowel, drqa, dtaidistance, emcee, evidently, fastapi, feast, fedot, garage, gensim, ggpy, gradio, gymnasium, haystack, hebel, igel, jax, jieba, joligen, jprocessing, keras-tuner, lab, lambdo, langflow, langfuse, lightgbm, lightly, lightwood, loso, machine-learning, mars, matplotlib, maze, metaworld, mindsdb, mlens, mlflow, mljar-supervised, mlx, mlxtend, nalp, neural-style-pt, neuraltalk, neuraltalk2, neuroner, neuropredict, nilearn, nn_builder, numpy, nut, open-metric-learning, open-webui, optuna, pandas, parris, pattern, pebl, petrel, pgmpy, pix2pix-keras, pkuseg-python, polyglot, prodmodel, pybrain, pydantic, pymc, pynlpl, pyqtgraph, pyss3, pysyft, pytensor, python-recsys, python-timbl, pytorch, pytorch-frame, pytorch-image-models, pytorch-lightning, pytorch_geometric, pytorchcv, rasa, ray, recommenders, retinaface, retro, river, rosetta, scikit-image, scikit-learn, scikit-learn-intelex, scikit-opt, scikit-survival, seaborn, shogun, skbel, skll, skorch, sktime, somoclu, spacy, spammy, spearmint, statsmodels, stellargraph, streamlit, superset, synapseml, tensorflow, tesseract, textacy, tpot, transformers, typer, vigra, vispy, vizdoom, xcessiv, xgboost, xlearn, yalign, zipline, zpar"
2,base,23,Relative Path Traversal,1596,22070,"aim, aiohttp, babel, black, docling, dulwich, flask-cors, gdown, gitpython, gradio, jupyter-server, keras, langchain, lightning, mako, mistune, mlflow, nbconvert, nltk, onnx, pillow, pip, pydantic-settings, pymdown-extensions, setuptools, starlette, unstructured, uv, werkzeug, wheel","aim, alibi-detect, altair, autogluon, bentoml, bigartm, biopy, blaze, bokeh, bolt, caffe, catalyst, catboost, chainer, cleanlab, cltk, colibri-core, colossalai, compreface, corenlp, cornac, cortex, danswerai, dash, deepchecks, deepface, deeplake, deeppavlov, deeppy, detectron2, determined, di-engine, digits, dowel, drqa, dtaidistance, emcee, evidently, face_recognition, fastapi, feast, fedot, garage, gensim, ggpy, gradio, gymnasium, haystack, hebel, igel, jax, jieba, joligen, jprocessing, keras-tuner, lab, lambdo, langflow, langfuse, lightgbm, lightly, lightwood, loso, machine-learning, mars, matplotlib, maze, metaworld, mindsdb, mlens, mlflow, mljar-supervised, mlx, mlxtend, neural-style-pt, neuraltalk, neuraltalk2, neuroner, neuropredict, nilearn, nn_builder, numpy, nut, open-metric-learning, open-webui, optuna, pandas, parris, pebl, petrel, pgmpy, pix2pix-keras, pkuseg-python, polyglot, prodmodel, pybrain, pydantic, pymc, pynlpl, pyqtgraph, pyss3, pysyft, pytensor, python-recsys, python-timbl, pytorch, pytorch-frame, pytorch-image-models, pytorch-lightning, pytorch_geometric, pytorchcv, rasa, ray, recommenders, retinaface, retro, river, rosetta, scikit-image, scikit-learn, scikit-learn-intelex, scikit-opt, scikit-survival, seaborn, shogun, skbel, skll, skorch, sktime, somoclu, spacy, spearmint, statsmodels, stellargraph, streamlit, superset, synapseml, tensorflow, tesseract, textacy, tpot, transformers, typer, vigra, vispy, vizdoom, xcessiv, xgboost, xlearn, yalign, zipline, zpar"
3,base,36,Absolute Path Traversal,1824,22041,"aim, aiohttp, babel, black, docling, dulwich, flask-cors, gdown, gitpython, gradio, jupyter-server, keras, langchain, lightning, mako, mistune, mlflow, nbconvert, nltk, onnx, pillow, pip, pydantic-settings, pymdown-extensions, setuptools, starlette, unstructured, uv, werkzeug, wheel","aim, alibi-detect, altair, autogluon, bentoml, bigartm, biopy, blaze, bokeh, bolt, caffe, catalyst, catboost, chainer, cleanlab, cltk, colibri-core, colossalai, compreface, corenlp, cornac, cortex, danswerai, dash, deepchecks, deepface, deeplake, deeppavlov, deeppy, detectron2, determined, di-engine, digits, dowel, drqa, dtaidistance, emcee, evidently, face_recognition, fastapi, feast, fedot, garage, gensim, ggpy, gradio, gymnasium, haystack, hebel, igel, jax, jieba, joligen, jprocessing, keras-tuner, lab, lambdo, langflow, langfuse, lightgbm, lightly, lightwood, loso, machine-learning, mars, matplotlib, maze, metaworld, mindsdb, mlens, mlflow, mljar-supervised, mlx, mlxtend, neural-style-pt, neuraltalk, neuraltalk2, neuroner, neuropredict, nilearn, nn_builder, numpy, nut, open-metric-learning, open-webui, optuna, pandas, parris, pebl, petrel, pgmpy, pix2pix-keras, pkuseg-python, polyglot, prodmodel, pybrain, pydantic, pymc, pynlpl, pyqtgraph, pyss3, pysyft, pytensor, python-recsys, python-timbl, pytorch, pytorch-frame, pytorch-image-models, pytorch-lightning, pytorch_geometric, pytorchcv, rasa, ray, recommenders, retinaface, retro, river, rosetta, scikit-image, scikit-learn, scikit-learn-intelex, scikit-opt, scikit-survival, seaborn, shogun, skbel, skll, skorch, sktime, somoclu, spacy, spearmint, statsmodels, stellargraph, streamlit, superset, synapseml, tensorflow, tesseract, textacy, tpot, transformers, typer, vigra, vispy, vizdoom, xcessiv, xgboost, xlearn, yalign, zipline, zpar"
4,base,41,Improper Resolution of Path Equivalence,960,7649,"aiohttp, docling, flask, gitpython, gradio, ipython, jupyterlab, keras, litestar, mlflow, nbconvert, oauthlib, onnx, pillow, pip, pyjwt, python-multipart, pyyaml, starlette, tensorflow, tensorflow-gpu, transformers, ujson, unstructured, uv, werkzeug","aim, alibi-detect, altair, auto_viml, autogluon, autoviz, backprop, bentoml, bigartm, biopy, blaze, bokeh, bolt, caffe, catalyst, catboost, chainer, cleanlab, cltk, colibri-core, colossalai, compreface, corenlp, cornac, cortex, danswerai, dash, deepchecks, deepface, deeplake, deeppavlov, deeppy, detectron2, determined, di-engine, digits, dowel, drqa, dtaidistance, emcee, evidently, fastapi, feast, fedot, garage, gensim, ggpy, gradio, gymnasium, haystack, hebel, igel, jax, jieba, joligen, jprocessing, keras-tuner, lab, lambdo, langflow, langfuse, lightgbm, lightly, lightwood, loso, machine-learning, mars, matplotlib, maze, metaworld, mindsdb, mlens, mlflow, mljar-supervised, mlx, mlxtend, nalp, neural-style-pt, neuraltalk, neuraltalk2, neuroner, neuropredict, nilearn, nn_builder, numpy, nut, open-metric-learning, open-webui, optuna, pandas, parris, pattern, pebl, petrel, pgmpy, pix2pix-keras, pkuseg-python, polyglot, prodmodel, pybrain, pydantic, pymc, pynlpl, pyqtgraph, pyss3, pysyft, pytensor, python-recsys, python-timbl, pytorch, pytorch-frame, pytorch-image-models, pytorch-lightning, pytorch_geometric, pytorchcv, rasa, ray, recommenders, retinaface, retro, river, rosetta, scikit-image, scikit-learn, scikit-learn-intelex, scikit-opt, scikit-survival, seaborn, shogun, skbel, skll, skorch, sktime, somoclu, spacy, spammy, spearmint, statsmodels, stellargraph, streamlit, superset, synapseml, tensorflow, tesseract, textacy, tpot, transformers, typer, vigra, vispy, vizdoom, xcessiv, xgboost, xlearn, yalign, zipline, zpar"
5,base,59,Improper Link Resolution Before File Access ('Link Following'),40,7105,"docling, gitpython, keras, nbconvert, onnx, python-dotenv, starlette, unstructured","aim, alibi-detect, altair, autogluon, bentoml, bigartm, biopy, blaze, bokeh, bolt, caffe, catalyst, catboost, chainer, cleanlab, cltk, colibri-core, colossalai, compreface, corenlp, cornac, cortex, danswerai, dash, deepchecks, deepface, deeplake, deeppavlov, deeppy, detectron2, determined, di-engine, digits, dowel, drqa, dtaidistance, emcee, evidently, fastapi, feast, fedot, garage, gensim, ggpy, gradio, gymnasium, haystack, hebel, igel, jax, jieba, joligen, jprocessing, keras-tuner, lab, lambdo, langflow, langfuse, lightgbm, lightly, lightwood, loso, machine-learning, mars, matplotlib, maze, metaworld, mindsdb, mlens, mlflow, mljar-supervised, mlx, mlxtend, neural-style-pt, neuraltalk, neuraltalk2, neuroner, neuropredict, nilearn, numpy, nut, open-metric-learning, open-webui, optuna, pandas, parris, pebl, petrel, pgmpy, pix2pix-keras, pkuseg-python, polyglot, prodmodel, pybrain, pymc, pynlpl, pyqtgraph, pyss3, pysyft, pytensor, python-recsys, python-timbl, pytorch, pytorch-frame, pytorch-image-models, pytorch-lightning, pytorch_geometric, pytorchcv, rasa, ray, recommenders, retinaface, retro, river, rosetta, scikit-image, scikit-learn, scikit-learn-intelex, scikit-opt, scikit-survival, seaborn, shogun, skbel, skll, skorch, sktime, somoclu, spacy, spearmint, statsmodels, stellargraph, streamlit, superset, synapseml, tensorflow, tesseract, textacy, tpot, transformers, typer, vigra, vispy, vizdoom, xcessiv, xgboost, xlearn, yalign, zipline, zpar"
6,base,66,Improper Handling of File Names that Identify Virtual Resources,4,41,"starlette, werkzeug","altair, blaze, compreface, danswerai, fastapi, igel, mindsdb, mlflow, ray, zipline"
7,base,73,External Control of File Name or Path,2056,7965,"aim, aiohttp, anthropic, babel, black, docling, dulwich, filelock, flask, flask-cors, gdown, gitpython, gradio, ipython, jupyter-server, jupyterlab, keras, langchain, lightning, litestar, mako, mistune, mlflow, nbconvert, nltk, oauthlib, onnx, pillow, pip, pydantic-settings, pygments, pymdown-extensions, python-dotenv, python-multipart, pytorch-lightning, pyyaml, setuptools, starlette, tensorflow, tensorflow-gpu, transformers, ujson, unstructured, uv, virtualenv, werkzeug, wheel","aim, alibi-detect, altair, auto_viml, autogluon, autoviz, backprop, bentoml, bigartm, biopy, blaze, bokeh, bolt, caffe, catalyst, catboost, chainer, cleanlab, cltk, colibri-core, colossalai, compreface, corenlp, cornac, cortex, danswerai, dash, deepchecks, deepface, deeplake, deeppavlov, deeppy, detectron2, determined, di-engine, digits, dowel, drqa, dtaidistance, emcee, evidently, face_recognition, fastapi, feast, fedot, garage, gensim, ggpy, gradio, gymnasium, haystack, hebel, igel, jax, jieba, joligen, jprocessing, keras-tuner, lab, lambdo, langflow, langfuse, lightgbm, lightly, lightwood, loso, machine-learning, mars, matplotlib, maze, metaworld, mindsdb, mlens, mlflow, mljar-supervised, mlx, mlxtend, nalp, neural-style-pt, neuraltalk, neuraltalk2, neuroner, neuropredict, nilearn, nn_builder, numpy, nut, open-metric-learning, open-webui, optuna, pandas, parris, pattern, pebl, petrel, pgmpy, pix2pix-keras, pkuseg-python, polyglot, prodmodel, pybrain, pydantic, pymc, pynlpl, pyqtgraph, pyss3, pysyft, pytensor, python-recsys, python-timbl, pytorch, pytorch-frame, pytorch-image-models, pytorch-lightning, pytorch_geometric, pytorchcv, rasa, ray, recommenders, retinaface, retro, river, rosetta, scikit-image, scikit-learn, scikit-learn-intelex, scikit-opt, scikit-survival, seaborn, shogun, skbel, skll, skorch, sktime, somoclu, spacy, spammy, spearmint, statsmodels, stellargraph, streamlit, superset, synapseml, tensorflow, tesseract, textacy, tpot, transformers, typer, vigra, vispy, vizdoom, xcessiv, xgboost, xlearn, yalign, zipline, zpar"
8,base,76,Improper Neutralization of Equivalent Special Elements,3,11,"black, notebook","determined, igel, joligen, ray, rep"
9,base,78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),269,141,"bleach, deepspeed, gitpython, gradio, hermes-agent, langchain, lxml, lxml-html-clean, mistune, mlflow, pillow, pip, torch, tornado, tqdm, urllib3, virtualenv","aim, altair, backprop, chemicalx, cltk, colossalai, compreface, cortex, danswerai, determined, di-engine, digits, dl-translate, face_recognition, feast, gradio, igel, mindsdb, mlflow, nn_builder, open-webui, pandas, ray, retro, skbel, superset, zipline"
