,repo_name,counts
0,ColossalAI,33
1,DI-engine,33
2,DIGITS,18
3,DeepPavlov,9
4,DrQA,3
5,FEDOT,8
6,LightGBM,4
7,NeuroNER,5
8,PCV,20
9,Petrel,2
10,PyStanfordDependencies,1
11,PyTorchCV,10
12,Sklearn-genetic-opt,4
13,Spearmint,1
14,TResNet,1
15,ViZDoom,3
16,aim,3
17,alibi,11
18,alibi-detect,7
19,altair,2
20,annoy,1
21,autogluon,21
22,backprop,2
23,bentoml,6
24,bigartm,5
25,blaze,1
26,bokeh,3
27,bolt,1
28,breze,1
29,bytehub,1
30,caffe,2
31,catalyst,4
32,catboost,62
33,chainer,4
34,chefboost,1
35,cleanlab,3
36,cltk,1
37,colibri-core,1
38,cornac,7
39,cortex,3
40,couler,1
41,danswerai,14
42,dash,2
43,dedupe,3
44,deepchecks,3
45,deepface,2
46,deeplake,8
47,deeppy,3
48,detectron2,3
49,determined,23
50,dl-translate,3
51,eurybia,3
52,evidently,1
53,evostra,1
54,face_recognition,2
55,feast,2
56,frouros,1
57,gan,1
58,garage,4
59,gensim,3
60,ggpy,1
61,gradio,9
62,haystack,1
63,hebel,7
64,igel,4
65,imbalanced-ensemble,1
66,jProcessing,2
67,jax,13
68,jieba,8
69,joliGEN,7
70,keras-tuner,3
71,lambdo,2
72,langflow,7
73,lifelines,1
74,lightly,9
75,lightning-bolts,1
76,lightwood,2
77,loso,2
78,machine-learning,15
79,mars,3
80,matplotlib,6
81,maze,10
82,metric-learn,1
83,mindsdb,11
84,miraiml,1
85,mist,3
86,mlens,3
87,mlflow,24
88,mljar-supervised,1
89,mlxtend,1
90,neural-style-pt,1
91,neuraltalk,4
92,neurolab,1
93,neuropredict,9
94,nilearn,1
95,notebook,1
96,numpy,13
97,nupic.studio,2
98,nut,3
99,open-metric-learning,9
100,open-webui,12
101,opfython,1
102,opytimizer,1
103,pandas,6
104,pebl,4
105,pkuseg-python,2
106,polyglot,5
107,prodmodel,2
108,pybrain,3
109,pydantic,1
110,pynlpl,4
111,pyod,2
112,pyqtgraph,4
113,pytensor,3
114,python-recsys,1
115,python-timbl,1
116,pytorch,130
117,pytorch-frame,4
118,pytorch-image-models,6
119,pytorch-lightning,5
120,pytorch_geometric,23
121,pytorch_geometric_temporal,6
122,rasa,5
123,ray,93
124,recommenders,10
125,rep,14
126,retro,6
127,rgf,1
128,river,1
129,rockpool,2
130,scikit-image,3
131,scikit-learn,3
132,scikit-learn-intelex,3
133,scikit-multiflow,1
134,seaborn,2
135,segmentation_models,1
136,segmentation_models.pytorch,1
137,sentiment-analyzer,4
138,sentiment_classifier,4
139,shapash,2
140,shogun,1
141,simpleai,2
142,skll,4
143,skorch,7
144,snips-nlu,2
145,snownlp,6
146,statsmodels,6
147,stellargraph,3
148,streamlit,7
149,superset,3
150,tensorflow,10
151,tflearn,7
152,tpot,4
153,transformers,140
154,typer,3
155,upgini,1
156,vigra,10
157,xgboost,19
158,xlearn,1
159,yalign,1
160,zipline,2
161,zpar,8
