,nature,type,id,description,cwe_counts,cwe_id
0,ChildOf,pillar,707,Improper Neutralization,4,20
1,ParentOf,base,179,Incorrect Behavior Order: Early Validation,4,20
2,ParentOf,variant,622,Improper Validation of Function Hook Arguments,4,20
3,ParentOf,base,1173,Improper Use of Validation Framework,4,20
4,ParentOf,base,1284,Improper Validation of Specified Quantity in Input,4,20
5,ParentOf,base,1285,"Improper Validation of Specified Index, Position, or Offset in Input",4,20
6,ParentOf,base,1286,Improper Validation of Syntactic Correctness of Input,4,20
7,ParentOf,base,1287,Improper Validation of Specified Type of Input,4,20
8,ParentOf,base,1288,Improper Validation of Consistency within Input,4,20
9,ParentOf,base,1289,Improper Validation of Unsafe Equivalence in Input,4,20
10,PeerOf,class,345,Insufficient Verification of Data Authenticity,4,20
11,CanPrecede,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),4,20
12,CanPrecede,base,41,Improper Resolution of Path Equivalence,4,20
13,CanPrecede,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),4,20
14,CanPrecede,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,4,20
15,CanPrecede,base,770,Allocation of Resources Without Limits or Throttling,4,20
16,MemberOf,view,1003,Weaknesses for Simplified Mapping of Published Vulnerabilities,4,20
17,ParentOf,variant,129,Improper Validation of Array Index,4,20
18,ParentOf,base,1284,Improper Validation of Specified Quantity in Input,4,20
19,MemberOf,category,1019,Validate Inputs,4,20
20,ParentOf,base,15,External Control of System or Configuration Setting,4,20
21,ParentOf,base,73,External Control of File Name or Path,4,20
22,ParentOf,variant,102,Struts: Duplicate Validation Forms,4,20
23,ParentOf,variant,103,Struts: Incomplete validate() Method Definition,4,20
24,ParentOf,variant,104,Struts: Form Bean Does Not Extend Validation Class,4,20
25,ParentOf,variant,105,Struts: Form Field Without Validator,4,20
26,ParentOf,variant,106,Struts: Plug-in Framework not in Use,4,20
27,ParentOf,variant,107,Struts: Unused Validation Form,4,20
28,ParentOf,variant,108,Struts: Unvalidated Action Form,4,20
29,ParentOf,variant,109,Struts: Validator Turned Off,4,20
30,ParentOf,variant,110,Struts: Validator Without Form Field,4,20
31,ParentOf,variant,111,Direct Use of Unsafe JNI,4,20
32,ParentOf,base,112,Missing XML Validation,4,20
33,ParentOf,variant,113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),4,20
34,ParentOf,class,114,Process Control,4,20
35,ParentOf,base,117,Improper Output Neutralization for Logs,4,20
36,ParentOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,4,20
37,ParentOf,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),4,20
38,ParentOf,base,134,Use of Externally-Controlled Format String,4,20
39,ParentOf,base,170,Improper Null Termination,4,20
40,ParentOf,base,190,Integer Overflow or Wraparound,4,20
41,ParentOf,base,466,Return of Pointer Value Outside of Expected Range,4,20
42,ParentOf,base,470,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),4,20
43,ParentOf,variant,785,Use of Path Manipulation Function without Maximum-sized Buffer,4,20
44,MemberOf,view,635,Weaknesses Originally Used by NVD from 2008 to 2016,4,20
45,MemberOf,category,722,OWASP Top Ten 2004 Category A1 - Unvalidated Input,4,20
46,MemberOf,category,738,CERT C Secure Coding Standard (2008) Chapter 5 - Integers (INT),4,20
47,MemberOf,category,742,CERT C Secure Coding Standard (2008) Chapter 9 - Memory Management (MEM),4,20
48,MemberOf,category,746,CERT C Secure Coding Standard (2008) Chapter 13 - Error Handling (ERR),4,20
49,MemberOf,category,747,CERT C Secure Coding Standard (2008) Chapter 14 - Miscellaneous (MSC),4,20
50,MemberOf,category,751,2009 Top 25 - Insecure Interaction Between Components,4,20
51,MemberOf,category,872,CERT C++ Secure Coding Section 04 - Integers (INT),4,20
52,MemberOf,category,876,CERT C++ Secure Coding Section 08 - Memory Management (MEM),4,20
53,MemberOf,category,883,CERT C++ Secure Coding Section 49 - Miscellaneous (MSC),4,20
54,MemberOf,category,994,SFP Secondary Cluster: Tainted Input to Variable,4,20
55,MemberOf,category,1005,7PK - Input Validation and Representation,4,20
56,MemberOf,category,1163,SEI CERT C Coding Standard - Guidelines 09. Input Output (FIO),4,20
57,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,4,20
58,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,4,20
59,MemberOf,category,1347,OWASP Top Ten 2021 Category A03:2021 - Injection,4,20
60,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,4,20
61,MemberOf,category,1382,ICS Operations (& Maintenance): Emerging Energy Technologies,4,20
62,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,4,20
63,MemberOf,category,1406,Comprehensive Categorization: Improper Input Validation,4,20
64,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,4,20
65,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,4,20
66,MemberOf,view,1435,Weaknesses in the 2025 CWE Top 25 Most Dangerous Software Weaknesses,4,20
67,MemberOf,category,1440,OWASP Top Ten 2025 Category A05:2025 - Injection,4,20
68,Self,class,20,,4,20
69,ChildOf,pillar,707,Improper Neutralization,34,20
70,ParentOf,base,179,Incorrect Behavior Order: Early Validation,34,20
71,ParentOf,variant,622,Improper Validation of Function Hook Arguments,34,20
72,ParentOf,base,1173,Improper Use of Validation Framework,34,20
73,ParentOf,base,1284,Improper Validation of Specified Quantity in Input,34,20
74,ParentOf,base,1285,"Improper Validation of Specified Index, Position, or Offset in Input",34,20
75,ParentOf,base,1286,Improper Validation of Syntactic Correctness of Input,34,20
76,ParentOf,base,1287,Improper Validation of Specified Type of Input,34,20
77,ParentOf,base,1288,Improper Validation of Consistency within Input,34,20
78,ParentOf,base,1289,Improper Validation of Unsafe Equivalence in Input,34,20
79,PeerOf,class,345,Insufficient Verification of Data Authenticity,34,20
80,CanPrecede,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),34,20
81,CanPrecede,base,41,Improper Resolution of Path Equivalence,34,20
82,CanPrecede,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),34,20
83,CanPrecede,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,34,20
84,CanPrecede,base,770,Allocation of Resources Without Limits or Throttling,34,20
85,MemberOf,view,1003,Weaknesses for Simplified Mapping of Published Vulnerabilities,34,20
86,ParentOf,variant,129,Improper Validation of Array Index,34,20
87,ParentOf,base,1284,Improper Validation of Specified Quantity in Input,34,20
