,nature,type,id,description,cwe_counts
0,CanFollow,base,73,External Control of File Name or Path,7057
1,CanFollow,base,184,Incomplete List of Disallowed Inputs,330
2,CanFollow,base,208,Observable Timing Discrepancy,15
3,CanFollow,base,489,Active Debug Code,6
4,CanFollow,base,756,Missing Custom Error Page,88
5,CanFollow,base,1272,Sensitive Information Uncleared Before Debug/Power State Transition,59
6,CanFollow,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),1
7,CanFollow,base,613,Insufficient Session Expiration,5
8,CanFollow,base,93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),3
9,CanFollow,class,20,Improper Input Validation,7066
10,CanFollow,class,116,Improper Encoding or Escaping of Output,9
11,CanFollow,class,172,Encoding Error,7057
12,CanFollow,class,410,Insufficient Resource Pool,355
13,CanFollow,class,441,Unintended Proxy or Intermediary ('Confused Deputy'),1
14,CanFollow,class,656,Reliance on Security Through Obscurity,1
15,CanFollow,variant,98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),132
16,CanFollow,variant,113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),30
17,CanFollow,variant,456,Missing Initialization of a Variable,27
18,CanFollow,variant,498,Cloneable Class Containing Sensitive Information,59
19,CanFollow,variant,499,Serializable Class Containing Sensitive Data,59
20,CanFollow,variant,600,Uncaught Exception in Servlet,88
21,CanFollow,variant,1275,Sensitive Cookie with Improper SameSite Attribute,1
22,CanFollow,variant,827,Improper Control of Document Type Definition,1
23,CanFollow,variant,942,Permissive Cross-domain Security Policy with Untrusted Domains,1
24,CanPrecede,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),7148
25,CanPrecede,base,41,Improper Resolution of Path Equivalence,7148
26,CanPrecede,base,59,Improper Link Resolution Before File Access ('Link Following'),7057
27,CanPrecede,base,182,Collapse of Data into Unsafe Value,3
28,CanPrecede,base,215,Insertion of Sensitive Information Into Debugging Code,6
29,CanPrecede,base,434,Unrestricted Upload of File with Dangerous Type,7057
30,CanPrecede,base,494,Download of Code Without Integrity Check,30
31,CanPrecede,base,770,Allocation of Resources Without Limits or Throttling,91
32,CanPrecede,base,804,Guessable CAPTCHA,2
33,CanPrecede,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),256
34,CanPrecede,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,91
35,CanPrecede,class,668,Exposure of Resource to Wrong Sphere,7057
36,CanPrecede,class,668,Exposure of Resource to Wrong Sphere,5
37,CanPrecede,composite,352,Cross-Site Request Forgery (CSRF),1
38,CanPrecede,variant,98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),7057
39,CanPrecede,variant,187,Partial String Comparison,3
40,ChildOf,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),42342
41,ChildOf,base,94,Improper Control of Generation of Code ('Code Injection'),132
42,ChildOf,base,312,Cleartext Storage of Sensitive Information,12
43,ChildOf,base,319,Cleartext Transmission of Sensitive Information,2
44,ChildOf,base,328,Use of Weak Hash,11
45,ChildOf,base,538,Insertion of Sensitive Information into Externally-Accessible File or Directory,59
46,ChildOf,base,183,Permissive List of Allowed Inputs,5
47,ChildOf,base,344,Use of Invariant Value in Dynamically Changing Context,3
48,ChildOf,base,798,Use of Hard-coded Credentials,3
49,ChildOf,base,91,XML Injection (aka Blind XPath Injection),1
50,ChildOf,base,94,Improper Control of Generation of Code ('Code Injection'),16
51,ChildOf,base,940,Improper Verification of Source of a Communication Channel,24
52,ChildOf,class,20,Improper Input Validation,7057
53,ChildOf,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),8010
54,ChildOf,class,77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),1800
55,ChildOf,class,185,Incorrect Regular Expression,3
56,ChildOf,class,200,Exposure of Sensitive Information to an Unauthorized Actor,400
57,ChildOf,class,287,Improper Authentication,2
58,ChildOf,class,311,Missing Encryption of Sensitive Data,142
59,ChildOf,class,326,Inadequate Encryption Strength,11
60,ChildOf,class,327,Use of a Broken or Risky Cryptographic Algorithm,22
61,ChildOf,class,407,Inefficient Algorithmic Complexity,594
62,ChildOf,class,441,Unintended Proxy or Intermediary ('Confused Deputy'),82
63,ChildOf,class,610,Externally Controlled Reference to a Resource in Another Sphere,7167
64,ChildOf,class,642,External Control of Critical State Data,7057
65,ChildOf,class,668,Exposure of Resource to Wrong Sphere,78
66,ChildOf,class,706,Use of Incorrectly-Resolved Name or Reference,14114
67,ChildOf,class,732,Incorrect Permission Assignment for Critical Resource,2
68,ChildOf,class,755,Improper Handling of Exceptional Conditions,88
69,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,1532
70,ChildOf,class,922,Insecure Storage of Sensitive Information,71
