,Unnamed: 0,nature,type,id,description,cwe_counts,cwe_id,repos
0,0,ChildOf,pillar,707,Improper Neutralization,4,20,"['lightly', 'ViZDoom', 'numpy', 'feast', 'langflow', 'mlflow', 'open-webui', 'retro', 'mindsdb', 'pydantic', 'nalp', 'danswerai', 'rasa', 'pattern', 'superset', 'bokeh', 'Auto_ViML', 'fastapi', 'spammy', 'ray', 'PySyft', 'pytensor', 'pytorch', 'gradio', 'streamlit', 'transformers', 'DIGITS', 'AutoViz']"
1,1,ParentOf,base,179,Incorrect Behavior Order: Early Validation,4,20,"['lightly', 'ViZDoom', 'numpy', 'feast', 'langflow', 'mlflow', 'open-webui', 'retro', 'mindsdb', 'pydantic', 'nalp', 'danswerai', 'rasa', 'pattern', 'superset', 'bokeh', 'Auto_ViML', 'fastapi', 'spammy', 'ray', 'PySyft', 'pytensor', 'pytorch', 'gradio', 'streamlit', 'transformers', 'DIGITS', 'AutoViz']"
2,2,ParentOf,variant,622,Improper Validation of Function Hook Arguments,4,20,"['lightly', 'ViZDoom', 'numpy', 'feast', 'langflow', 'mlflow', 'open-webui', 'retro', 'mindsdb', 'pydantic', 'nalp', 'danswerai', 'rasa', 'pattern', 'superset', 'bokeh', 'Auto_ViML', 'fastapi', 'spammy', 'ray', 'PySyft', 'pytensor', 'pytorch', 'gradio', 'streamlit', 'transformers', 'DIGITS', 'AutoViz']"
3,3,ParentOf,base,1173,Improper Use of Validation Framework,4,20,"['lightly', 'ViZDoom', 'numpy', 'feast', 'langflow', 'mlflow', 'open-webui', 'retro', 'mindsdb', 'pydantic', 'nalp', 'danswerai', 'rasa', 'pattern', 'superset', 'bokeh', 'Auto_ViML', 'fastapi', 'spammy', 'ray', 'PySyft', 'pytensor', 'pytorch', 'gradio', 'streamlit', 'transformers', 'DIGITS', 'AutoViz']"
4,4,ParentOf,base,1284,Improper Validation of Specified Quantity in Input,4,20,"['lightly', 'ViZDoom', 'numpy', 'feast', 'langflow', 'mlflow', 'open-webui', 'retro', 'mindsdb', 'pydantic', 'nalp', 'danswerai', 'rasa', 'pattern', 'superset', 'bokeh', 'Auto_ViML', 'fastapi', 'spammy', 'ray', 'PySyft', 'pytensor', 'pytorch', 'gradio', 'streamlit', 'transformers', 'DIGITS', 'AutoViz']"
5,5,ParentOf,base,1285,"Improper Validation of Specified Index, Position, or Offset in Input",4,20,"['lightly', 'ViZDoom', 'numpy', 'feast', 'langflow', 'mlflow', 'open-webui', 'retro', 'mindsdb', 'pydantic', 'nalp', 'danswerai', 'rasa', 'pattern', 'superset', 'bokeh', 'Auto_ViML', 'fastapi', 'spammy', 'ray', 'PySyft', 'pytensor', 'pytorch', 'gradio', 'streamlit', 'transformers', 'DIGITS', 'AutoViz']"
6,6,ParentOf,base,1286,Improper Validation of Syntactic Correctness of Input,4,20,"['lightly', 'ViZDoom', 'numpy', 'feast', 'langflow', 'mlflow', 'open-webui', 'retro', 'mindsdb', 'pydantic', 'nalp', 'danswerai', 'rasa', 'pattern', 'superset', 'bokeh', 'Auto_ViML', 'fastapi', 'spammy', 'ray', 'PySyft', 'pytensor', 'pytorch', 'gradio', 'streamlit', 'transformers', 'DIGITS', 'AutoViz']"
7,7,ParentOf,base,1287,Improper Validation of Specified Type of Input,4,20,"['lightly', 'ViZDoom', 'numpy', 'feast', 'langflow', 'mlflow', 'open-webui', 'retro', 'mindsdb', 'pydantic', 'nalp', 'danswerai', 'rasa', 'pattern', 'superset', 'bokeh', 'Auto_ViML', 'fastapi', 'spammy', 'ray', 'PySyft', 'pytensor', 'pytorch', 'gradio', 'streamlit', 'transformers', 'DIGITS', 'AutoViz']"
8,8,ParentOf,base,1288,Improper Validation of Consistency within Input,4,20,"['lightly', 'ViZDoom', 'numpy', 'feast', 'langflow', 'mlflow', 'open-webui', 'retro', 'mindsdb', 'pydantic', 'nalp', 'danswerai', 'rasa', 'pattern', 'superset', 'bokeh', 'Auto_ViML', 'fastapi', 'spammy', 'ray', 'PySyft', 'pytensor', 'pytorch', 'gradio', 'streamlit', 'transformers', 'DIGITS', 'AutoViz']"
9,9,ParentOf,base,1289,Improper Validation of Unsafe Equivalence in Input,4,20,"['lightly', 'ViZDoom', 'numpy', 'feast', 'langflow', 'mlflow', 'open-webui', 'retro', 'mindsdb', 'pydantic', 'nalp', 'danswerai', 'rasa', 'pattern', 'superset', 'bokeh', 'Auto_ViML', 'fastapi', 'spammy', 'ray', 'PySyft', 'pytensor', 'pytorch', 'gradio', 'streamlit', 'transformers', 'DIGITS', 'AutoViz']"
