,repo_name,counts
0,ColossalAI,65
1,CompreFace,153
2,DeepPavlov,6
3,FEDOT,13
4,NeuroNER,113
5,PyTorchCV,6
6,aim,38
7,alibi,11
8,altair,22
9,backprop,16
10,blaze,15
11,chemicalx,2
12,cleanlab,3
13,cltk,28
14,cornac,262
15,cortex,39
16,danswerai,6
17,determined,26
18,evidently,47
19,face_recognition,6
20,fastapi,18
21,feast,124
22,gensim,16
23,gradio,2
24,igel,150
25,joliGEN,2
26,lightwood,43
27,litellm,1
28,matplotlib,16
29,mindsdb,36
30,mlflow,209
31,nn_builder,205
32,open-webui,96
33,pix2pix-keras,8
34,pydantic,1
35,ray,476
36,recommenders,2
37,rep,4
38,retro,7
39,scikit-multiflow,2
40,seaborn,1
41,skbel,27
42,snips-nlu,1
43,superset,4
44,tensorflow,8
45,tpot,4
46,typer,2
47,zipline,69
