,repo_name,counts
0,ColossalAI,31
1,CompreFace,103
2,DeepPavlov,2
3,NeuroNER,99
4,PyTorchCV,1
5,aim,10
6,altair,2
7,autogluon,1
8,backprop,14
9,blaze,2
10,chemicalx,5
11,cleanlab,6
12,cltk,3
13,cornac,115
14,cortex,38
15,danswerai,2
16,determined,22
17,evidently,4
18,face_recognition,5
19,fastapi,2
20,feast,2
21,gradio,5
22,igel,18
23,joliGEN,5
24,lightwood,18
25,matplotlib,1
26,mindsdb,19
27,mlflow,25
28,nn_builder,197
29,open-webui,17
30,pix2pix-keras,1
31,pydantic,1
32,pytorch,1
33,pytorch-frame,1
34,pytorch-lightning,2
35,ray,158
36,rep,1
37,retro,1
38,skbel,4
39,superset,9
40,tpot,10
41,zipline,7
