,repo_name,counts
0,ColossalAI,128
1,CompreFace,240
2,DeepPavlov,12
3,FEDOT,2
4,NeuroNER,193
5,aim,119
6,alibi,5
7,altair,11
8,autogluon,1
9,backprop,30
10,blaze,19
11,chemicalx,3
12,cleanlab,13
13,cltk,12
14,cornac,468
15,cortex,75
16,danswerai,7
17,determined,29
18,evidently,31
19,face_recognition,9
20,fastapi,8
21,feast,51
22,gensim,3
23,gradio,3
24,gym,1
25,igel,205
26,joliGEN,5
27,langflow,1
28,lightwood,34
29,litellm,1
30,matplotlib,5
31,mindsdb,44
32,mist,1
33,mlens,1
34,mlflow,99
35,nn_builder,361
36,open-webui,130
37,pix2pix-keras,8
38,pomegranate,3
39,pydantic,4
40,pytorch,3
41,pytorch-lightning,5
42,ray,360
43,rep,14
44,retro,7
45,scikit-multiflow,6
46,seaborn,1
47,skbel,25
48,snips-nlu,1
49,superset,7
50,tensorflow,21
51,tpot,6
52,zipline,62
