repo,enable_status,alert_count,secret_types,note
Auto_ViML,already-enabled,0,,ok
pytorch-frame,already-enabled,0,,ok
scikit-opt,already-enabled,0,,ok
einops,already-enabled,0,,ok
emcee,already-enabled,0,,ok
pytorch_geometric_temporal,already-enabled,0,,ok
python-timbl,already-enabled,0,,ok
catboost,already-enabled,0,,ok
skorch,already-enabled,0,,ok
CompreFace,already-enabled,0,,ok
alibi-detect,already-enabled,0,,ok
pytensor,already-enabled,0,,ok
tflearn,already-enabled,0,,ok
scikit-plot,already-enabled,0,,ok
pebl,already-enabled,0,,ok
pytorch-lightning,already-enabled,0,,ok
python-frog,already-enabled,0,,ok
synthia,already-enabled,0,,ok
mlflow,already-enabled,0,,ok
cornac,already-enabled,0,,ok
DI-engine,already-enabled,0,,ok
face_recognition,already-enabled,0,,ok
zipline,already-enabled,0,,ok
detecto,already-enabled,0,,ok
streamlit,already-enabled,0,,ok
matplotlib,already-enabled,0,,ok
lifelines,already-enabled,0,,ok
lightwood,already-enabled,0,,ok
ViZDoom,already-enabled,0,,ok
xgboost,already-enabled,0,,ok
feast,already-enabled,0,,ok
ipychart,already-enabled,0,,ok
altair,already-enabled,0,,ok
nupic.studio,already-enabled,0,,ok
pomegranate,already-enabled,0,,ok
nut,already-enabled,0,,ok
pytorch_geometric,already-enabled,0,,ok
joliGEN,already-enabled,0,,ok
pynlpl,already-enabled,0,,ok
jellyfish,already-enabled,0,,ok
stacked_generalization,already-enabled,0,,ok
shapley,already-enabled,0,,ok
LightGBM,already-enabled,0,,ok
detectron2,already-enabled,0,,ok
imbalanced-ensemble,already-enabled,0,,ok
skbel,already-enabled,0,,ok
aim,already-enabled,0,,ok
ray,already-enabled,0,,ok
stanford-corenlp-python,already-enabled,0,,ok
scikit-learn,already-enabled,0,,ok
crab,already-enabled,0,,ok
autogluon,already-enabled,0,,ok
neurolab,already-enabled,0,,ok
statsmodels,already-enabled,0,,ok
Lasagne,already-enabled,0,,ok
Sklearn-genetic-opt,already-enabled,0,,ok
shogun,already-enabled,0,,ok
pytesseract,already-enabled,0,,ok
sentiment-analyzer,already-enabled,0,,ok
retro,already-enabled,0,,ok
sequitur,already-enabled,0,,ok
rexmex,already-enabled,0,,ok
topicwizard,already-enabled,0,,ok
neofuzz,already-enabled,0,,ok
segmentation_models.pytorch,already-enabled,0,,ok
dowel,already-enabled,0,,ok
optuna,already-enabled,0,,ok
river,already-enabled,0,,ok
pandas,already-enabled,0,,ok
snownlp,already-enabled,0,,ok
suiron,already-enabled,0,,ok
jax,already-enabled,0,,ok
pyqtgraph,already-enabled,0,,ok
colibri-core,already-enabled,0,,ok
neuraltalk2,already-enabled,0,,ok
chainer,already-enabled,0,,ok
rgf,already-enabled,0,,ok
vigra,already-enabled,0,,ok
BayesPy,already-enabled,0,,ok
shapash,already-enabled,0,,ok
dirty_cat,already-enabled,0,,ok
bentoml,already-enabled,0,,ok
openpose,already-enabled,0,,ok
deepchecks,already-enabled,0,,ok
gensim,already-enabled,0,,ok
rep,already-enabled,0,,ok
simpleai,already-enabled,0,,ok
cortex,already-enabled,0,,ok
gan,already-enabled,0,,ok
caffe,already-enabled,0,,ok
cleanlab,already-enabled,0,,ok
mlxtend,already-enabled,0,,ok
tesseract,already-enabled,0,,ok
SynapseML,already-enabled,0,,ok
SOMPY,already-enabled,0,,ok
eurybia,already-enabled,0,,ok
FEDOT,already-enabled,0,,ok
lightly,already-enabled,0,,ok
mljar-supervised,already-enabled,0,,ok
deeppy,already-enabled,0,,ok
mindsdb,already-enabled,2,Amazon AWS Temporary Access Key ID (1); Google Cloud Service Account Credentials (1),ok
alibi,already-enabled,0,,ok
sparklingpandas,already-enabled,0,,ok
spaCy,already-enabled,0,,ok
pybroker,already-enabled,0,,ok
jProcessing,already-enabled,0,,ok
retinaface,already-enabled,0,,ok
neuraltalk,already-enabled,0,,ok
pytorch-image-models,already-enabled,0,,ok
tdb,already-enabled,0,,ok
mlx,already-enabled,0,,ok
scikit-learn-intelex,already-enabled,0,,ok
deeplake,already-enabled,0,,ok
minigrad,already-enabled,0,,ok
Neuraxle,already-enabled,0,,ok
dedupe,already-enabled,0,,ok
segmentation_models,already-enabled,0,,ok
stellargraph,already-enabled,0,,ok
pix2pix-keras,already-enabled,0,,ok
miraiml,already-enabled,0,,ok
upgini,already-enabled,0,,ok
xcessiv,already-enabled,0,,ok
pytorch,already-enabled,0,,ok
convnet-benchmarks,already-enabled,0,,ok
frouros,already-enabled,0,,ok
bytehub,already-enabled,0,,ok
somoclu,already-enabled,0,,ok
nn_builder,already-enabled,0,,ok
pattern,already-enabled,0,,ok
tensorwatch,already-enabled,0,,ok
hebel,already-enabled,0,,ok
notebook,already-enabled,0,,ok
visualize_ML,already-enabled,0,,ok
pyhsmm,already-enabled,0,,ok
GreatCircle,already-enabled,0,,ok
pyod,already-enabled,0,,ok
Metaworld,already-enabled,0,,ok
chefboost,already-enabled,0,,ok
dtaidistance,already-enabled,0,,ok
couler,already-enabled,0,,ok
distance,already-enabled,0,,ok
igel,already-enabled,0,,ok
bowtie,already-enabled,0,,ok
keras,already-enabled,0,,ok
determined,already-enabled,0,,ok
prodmodel,already-enabled,0,,ok
bokeh,already-enabled,0,,ok
PCV,already-enabled,0,,ok
PyTorchCV,already-enabled,0,,ok
comet-llm,already-enabled,0,,ok
metric-learn,already-enabled,0,,ok
sktime,already-enabled,0,,ok
bayeso,already-enabled,0,,ok
maze,already-enabled,0,,ok
nilearn,already-enabled,0,,ok
quepy,already-enabled,0,,ok
DeepPavlov,already-enabled,0,,ok
deepface,already-enabled,0,,ok
dl-translate,already-enabled,0,,ok
mist,already-enabled,2,Amazon AWS Secret Access Key (1); Amazon AWS Access Key ID (1),ok
garage,already-enabled,0,,ok
neuropredict,already-enabled,0,,ok
gradio,already-enabled,0,,ok
AutoViz,already-enabled,0,,ok
pybrain,already-enabled,0,,ok
skll,already-enabled,0,,ok
backprop,already-enabled,0,,ok
dash,already-enabled,0,,ok
keras-tuner,already-enabled,0,,ok
seaborn,already-enabled,0,,ok
climin,already-enabled,0,,ok
pastalog,already-enabled,0,,ok
typer,already-enabled,0,,ok
littleballoffur,already-enabled,0,,ok
lab,already-enabled,0,,ok
Petrel,already-enabled,0,,ok
haystack,already-enabled,0,,ok
Parris,already-enabled,0,,ok
rockpool,already-enabled,0,,ok
evostra,already-enabled,0,,ok
bigartm,already-enabled,0,,ok
deep-learning-project-template,already-enabled,0,,ok
loso,already-enabled,0,,ok
python-ucto,already-enabled,0,,ok
pgmpy,already-enabled,0,,ok
jieba,already-enabled,0,,ok
scikit-image,already-enabled,0,,ok
DIGITS,already-enabled,0,,ok
polyglot,already-enabled,0,,ok
xlearn,already-enabled,0,,ok
deap,already-enabled,0,,ok
annoy,already-enabled,0,,ok
rasa,already-enabled,0,,ok
bqplot,already-enabled,0,,ok
sklearn-bayes,already-enabled,0,,ok
Gymnasium,already-enabled,0,,ok
catalyst,already-enabled,0,,ok
blaze,already-enabled,0,,ok
pydexter,already-enabled,0,,ok
karateclub,already-enabled,0,,ok
PySyft,already-enabled,0,,ok
tensorflow,already-enabled,0,,ok
d3py,already-enabled,0,,ok
scikit-multiflow,already-enabled,0,,ok
Spearmint,already-enabled,0,,ok
cltk,already-enabled,0,,ok
machine-learning,already-enabled,0,,ok
nalp,already-enabled,0,,ok
pymc,already-enabled,0,,ok
IoT-Owl,already-enabled,0,,ok
recommenders,already-enabled,0,,ok
ggpy,already-enabled,0,,ok
pkuseg-python,already-enabled,0,,ok
featureforge,already-enabled,0,,ok
rosetta,already-enabled,0,,ok
evidently,already-enabled,0,,ok
bolt,already-enabled,0,,ok
gym,already-enabled,0,,ok
BioPy,already-enabled,0,,ok
Neural,already-enabled,0,,ok
lime,already-enabled,0,,ok
opfython,already-enabled,0,,ok
pyss3,already-enabled,0,,ok
pycm,already-enabled,0,,ok
sympy,already-enabled,0,,ok
neural-style-pt,already-enabled,0,,ok
PyStanfordDependencies,already-enabled,0,,ok
paramonte,already-enabled,0,,ok
textacy,already-enabled,0,,ok
hdbscan,already-enabled,0,,ok
vispy,already-enabled,0,,ok
fastapi,already-enabled,0,,ok
mlens,already-enabled,0,,ok
NeuroNER,already-enabled,0,,ok
modAL,already-enabled,0,,ok
lambdo,already-enabled,0,,ok
yalign,already-enabled,0,,ok
numpy,already-enabled,0,,ok
pydantic,already-enabled,0,,ok
snips-nlu,already-enabled,0,,ok
lucent,already-enabled,0,,ok
mars,already-enabled,0,,ok
scikit-survival,already-enabled,0,,ok
transformers,already-enabled,0,,ok
datacompy,already-enabled,0,,ok
numpy-ml,already-enabled,0,,ok
python-recsys,already-enabled,0,,ok
Pyevolve,already-enabled,0,,ok
lightning-bolts,already-enabled,0,,ok
learnergy,already-enabled,0,,ok
DrQA,already-enabled,0,,ok
CoreNLP,already-enabled,0,,ok
zpar,already-enabled,0,,ok
python-neuron,already-enabled,0,,ok
sentiment_classifier,already-enabled,0,,ok
opytimizer,already-enabled,0,,ok
open-metric-learning,already-enabled,0,,ok
chemicalx,already-enabled,0,,ok
dora,already-enabled,0,,ok
tpot,already-enabled,0,,ok
sinabs,already-enabled,0,,ok
ColossalAI,already-enabled,0,,ok
imutils,already-enabled,0,,ok
superset,already-enabled,1,Mapbox Secret Access Token (1),ok
TResNet,already-enabled,0,,ok
hyperopt-sklearn,already-enabled,0,,ok
spammy,already-enabled,0,,ok
breze,already-enabled,0,,ok
litellm,already-enabled,4,Replicate API Token (2); Hugging Face User Access Token (2),ok
langflow,already-enabled,1,Hugging Face User Access Token (1),ok
langfuse,already-enabled,0,,ok
open-webui,already-enabled,0,,ok
danswerai,already-enabled,0,,ok
