repo,in_scope,top_language,semgrep_ran,semgrep_status,semgrep_date,semgrep_run_url,reason
Auto_ViML,yes,Python,yes,success,2026-08-15T22:31:13Z,,ok
pytorch-frame,yes,Python,yes,success,2026-08-15T22:26:36Z,,ok
scikit-opt,yes,Python,yes,success,2026-08-16T09:35:56Z,,ok
einops,yes,Python,yes,success,2026-08-15T22:27:44Z,,ok
emcee,yes,Python,yes,success,2026-08-15T22:13:47Z,,ok
pytorch_geometric_temporal,yes,Python,yes,success,2026-08-16T09:35:34Z,,ok
python-timbl,yes,Python,yes,success,2026-08-16T09:35:31Z,,ok
catboost,yes,Python,yes,success,2026-08-16T10:43:46Z,,ok
skorch,yes,Python,yes,success,2026-08-15T22:12:15Z,,ok
CompreFace,yes,Python,yes,success,2026-08-15T22:31:21Z,,ok
alibi-detect,yes,Python,yes,success,2026-08-16T09:32:13Z,,ok
pytensor,yes,Python,yes,success,2026-08-15T22:29:22Z,,ok
tflearn,yes,Python,yes,success,2026-08-16T09:36:50Z,,ok
scikit-plot,yes,Python,yes,success,2026-08-16T09:35:58Z,,ok
pebl,yes,Python,yes,success,2026-08-15T22:31:20Z,,ok
pytorch-lightning,yes,Python,yes,success,2026-08-15T22:30:04Z,,ok
python-frog,yes,Python,yes,success,2026-08-15T22:31:11Z,,ok
synthia,yes,Python,yes,success,2026-08-16T09:36:40Z,,ok
mlflow,yes,Python,yes,success,2026-08-15T22:30:07Z,,ok
cornac,yes,Python,yes,success,2026-08-16T09:32:49Z,,ok
DI-engine,yes,Python,yes,success,2026-08-16T09:33:12Z,,ok
face_recognition,yes,Python,yes,success,2026-08-16T09:33:29Z,,ok
zipline,yes,Python,yes,success,2026-08-15T22:18:40Z,,ok
detecto,yes,Python,yes,success,2026-08-16T09:33:08Z,,ok
streamlit,yes,Python,yes,success,2026-08-15T22:29:23Z,,ok
matplotlib,yes,Python,yes,success,2026-08-15T22:28:51Z,,ok
lifelines,yes,Python,yes,success,2026-08-16T09:34:04Z,,ok
lightwood,yes,Python,yes,success,2026-08-15T22:13:40Z,,ok
ViZDoom,yes,Python,yes,success,2026-08-15T22:28:57Z,,ok
xgboost,yes,Python,yes,success,2026-08-16T09:36:59Z,,ok
feast,yes,Python,yes,success,2026-08-16T09:33:32Z,,ok
ipychart,yes,Python,yes,success,2026-08-15T22:21:42Z,,ok
altair,yes,Python,yes,success,2026-08-15T22:30:05Z,,ok
