,nature,type,id,description,cwe_counts
0,CanFollow,base,1257,Improper Access Control Applied to Mirrored or Aliased Memory Regions,54
1,CanFollow,base,1260,Improper Handling of Overlap Between Protected Memory Ranges,54
2,CanFollow,base,1265,Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls,24
3,CanFollow,base,1272,Sensitive Information Uncleared Before Debug/Power State Transition,178
4,CanFollow,base,128,Wrap-around Error,54
5,CanFollow,base,1282,Assumed-Immutable Data is Stored in Writable Memory,4
6,CanFollow,base,131,Incorrect Calculation of Buffer Size,54
7,CanFollow,base,1322,"Use of Blocking Code in Single-threaded, Non-blocking Context",35
8,CanFollow,base,1325,Improperly Controlled Sequential Memory Allocation,467
9,CanFollow,base,1339,Insufficient Precision or Accuracy of a Real Number,54
10,CanFollow,base,170,Improper Null Termination,143
11,CanFollow,base,183,Permissive List of Allowed Inputs,15
12,CanFollow,base,184,Incomplete List of Disallowed Inputs,176
13,CanFollow,base,190,Integer Overflow or Wraparound,54
14,CanFollow,base,193,Off-by-one Error,670
15,CanFollow,base,208,Observable Timing Discrepancy,52
16,CanFollow,base,252,Unchecked Return Value,467
17,CanFollow,base,364,Signal Handler Race Condition,42
18,CanFollow,base,390,Detection of Error Condition Without Action,20
19,CanFollow,base,410,Insufficient Resource Pool,230
20,CanFollow,base,425,Direct Request ('Forced Browsing'),4
21,CanFollow,base,489,Active Debug Code,20
22,CanFollow,base,609,Double-Checked Locking,14
23,CanFollow,base,613,Insufficient Session Expiration,2
24,CanFollow,base,681,Incorrect Conversion between Numeric Types,9
25,CanFollow,base,73,External Control of File Name or Path,179
26,CanFollow,base,756,Missing Custom Error Page,105
27,CanFollow,base,822,Untrusted Pointer Dereference,810
28,CanFollow,base,823,Use of Out-of-range Pointer Offset,810
29,CanFollow,base,824,Access of Uninitialized Pointer,810
30,CanFollow,base,825,Expired Pointer Dereference,810
31,CanFollow,base,839,Numeric Range Comparison Without Minimum Check,63
32,CanFollow,base,843,Access of Resource Using Incompatible Type ('Type Confusion'),54
33,CanFollow,base,93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),7
34,CanFollow,class,116,Improper Encoding or Escaping of Output,30
35,CanFollow,class,172,Encoding Error,164
36,CanFollow,class,20,Improper Input Validation,283
37,CanFollow,class,441,Unintended Proxy or Intermediary ('Confused Deputy'),14
38,CanFollow,class,602,Client-Side Enforcement of Server-Side Security,4
39,CanFollow,class,662,Improper Synchronization,6
40,CanFollow,class,909,Missing Initialization of Resource,58
41,CanFollow,variant,113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),133
42,CanFollow,variant,1275,Sensitive Cookie with Improper SameSite Attribute,28
43,CanFollow,variant,129,Improper Validation of Array Index,54
44,CanFollow,variant,1321,Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),4
45,CanFollow,variant,195,Signed to Unsigned Conversion Error,54
46,CanFollow,variant,231,Improper Handling of Extra Values,143
47,CanFollow,variant,416,Use After Free,143
48,CanFollow,variant,456,Missing Initialization of a Variable,154
49,CanFollow,variant,481,Assigning instead of Comparing,82
50,CanFollow,variant,498,Cloneable Class Containing Sensitive Information,178
51,CanFollow,variant,499,Serializable Class Containing Sensitive Data,178
52,CanFollow,variant,600,Uncaught Exception in Servlet,105
53,CanFollow,variant,621,Variable Extraction Error,4
54,CanFollow,variant,789,Memory Allocation with Excessive Size Value,467
55,CanFollow,variant,942,Permissive Cross-domain Policy with Untrusted Domains,14
56,CanFollow,variant,98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),51
57,CanPrecede,base,117,Improper Output Neutralization for Logs,1
58,CanPrecede,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),24
59,CanPrecede,base,123,Write-what-where Condition,172
60,CanPrecede,base,125,Out-of-bounds Read,99
61,CanPrecede,base,170,Improper Null Termination,17
62,CanPrecede,base,182,Collapse of Data into Unsafe Value,4
63,CanPrecede,base,215,Insertion of Sensitive Information Into Debugging Code,20
64,CanPrecede,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),823
65,CanPrecede,base,289,Authentication Bypass by Alternate Name,6
66,CanPrecede,base,385,Covert Timing Channel,9
67,CanPrecede,base,41,Improper Resolution of Path Equivalence,823
68,CanPrecede,base,434,Unrestricted Upload of File with Dangerous Type,75
69,CanPrecede,base,471,Modification of Assumed-Immutable Data (MAID),3
70,CanPrecede,base,476,NULL Pointer Dereference,8
71,CanPrecede,base,494,Download of Code Without Integrity Check,133
72,CanPrecede,base,59,Improper Link Resolution Before File Access ('Link Following'),75
73,CanPrecede,base,617,Reachable Assertion,8
74,CanPrecede,base,770,Allocation of Resources Without Limits or Throttling,748
75,CanPrecede,base,787,Out-of-bounds Write,99
76,CanPrecede,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,1135
77,CanPrecede,class,327,Use of a Broken or Risky Cryptographic Algorithm,9
78,CanPrecede,class,362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),9
79,CanPrecede,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),782
80,CanPrecede,pillar,682,Incorrect Calculation,47
81,CanPrecede,variant,187,Partial String Comparison,4
82,CanPrecede,variant,789,Memory Allocation with Excessive Size Value,66
83,CanPrecede,variant,98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),78
84,ChildOf,base,1341,Multiple Releases of Same Resource or Handle,18
85,ChildOf,base,201,Insertion of Sensitive Information Into Sent Data,4
86,ChildOf,base,203,Observable Discrepancy,9
87,ChildOf,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),468
88,ChildOf,base,23,Relative Path Traversal,37
89,ChildOf,base,288,Authentication Bypass Using an Alternate Path or Channel,3
90,ChildOf,base,312,Cleartext Storage of Sensitive Information,38
91,ChildOf,base,328,Use of Weak Hash,23
92,ChildOf,base,538,Insertion of Sensitive Information into Externally-Accessible File or Directory,66
93,ChildOf,base,552,Files or Directories Accessible to External Parties,16
94,ChildOf,base,681,Incorrect Conversion between Numeric Types,9
95,ChildOf,base,772,Missing Release of Resource after Effective Lifetime,20
96,ChildOf,base,787,Out-of-bounds Write,29
97,ChildOf,base,788,Access of Memory Location After End of Buffer,29
98,ChildOf,base,79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),4
99,ChildOf,base,825,Expired Pointer Dereference,42
100,ChildOf,base,94,Improper Control of Generation of Code ('Code Injection'),6
101,ChildOf,class,116,Improper Encoding or Escaping of Output,7
102,ChildOf,class,1177,Use of Prohibited Code,18
103,ChildOf,class,118,Incorrect Access of Indexable Resource ('Range Error'),54
104,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,4208
105,ChildOf,class,1390,Weak Authentication,3
106,ChildOf,class,172,Encoding Error,6
107,ChildOf,class,185,Incorrect Regular Expression,4
108,ChildOf,class,20,Improper Input Validation,666
109,ChildOf,class,200,Exposure of Sensitive Information to an Unauthorized Actor,520
110,ChildOf,class,228,Improper Handling of Syntactically Invalid Structure,6
111,ChildOf,class,269,Improper Privilege Management,9
112,ChildOf,class,285,Improper Authorization,5
113,ChildOf,class,287,Improper Authentication,33
114,ChildOf,class,311,Missing Encryption of Sensitive Data,200
115,ChildOf,class,326,Inadequate Encryption Strength,22
116,ChildOf,class,327,Use of a Broken or Risky Cryptographic Algorithm,45
117,ChildOf,class,330,Use of Insufficiently Random Values,2
118,ChildOf,class,345,Insufficient Verification of Data Authenticity,76
119,ChildOf,class,362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),28
120,ChildOf,class,400,Uncontrolled Resource Consumption,70
121,ChildOf,class,404,Improper Resource Shutdown or Release,44
122,ChildOf,class,405,Asymmetric Resource Consumption (Amplification),10
123,ChildOf,class,407,Inefficient Algorithmic Complexity,236
124,ChildOf,class,424,Improper Protection of Alternate Path,3
125,ChildOf,class,436,Interpretation Conflict,28
126,ChildOf,class,441,Unintended Proxy or Intermediary ('Confused Deputy'),29
127,ChildOf,class,514,Covert Channel,3
128,ChildOf,class,573,Improper Following of Specification by Caller,17
