,type,id,description,cwe_counts,libraries,repos
0,base,15,External Control of System or Configuration Setting,554,"aiohttp, apache-airflow, flask, gitpython, gradio, h2o, ipython, litellm, mlflow, oauthlib, pip, pyyaml, tensorflow, werkzeug","aim, auto_viml, autoviz, blaze, catboost, cleanlab, cltk, colossalai, compreface, cornac, danswerai, evidently, fedot, gradio, igel, mindsdb, minigrad, mlflow, nalp, neuroner, nn_builder, numpy, pattern, petrel, pix2pix-keras, pytensor, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, skbel, spammy, stellargraph, vizdoom, zipline"
1,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),907,"aiohttp, apache-airflow, dask, flask, gitpython, gradio, h2o, ipython, litellm, mlflow, oauthlib, pip, pyyaml, tensorflow, werkzeug","aim, auto_viml, autoviz, blaze, catboost, cleanlab, cltk, colossalai, compreface, cornac, danswerai, deepface, digits, evidently, fedot, gradio, igel, joligen, litellm, mindsdb, minigrad, mlflow, nalp, neuroner, nn_builder, numpy, open-webui, pattern, petrel, pix2pix-keras, pytensor, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, skbel, spammy, stellargraph, streamlit, vizdoom, xcessiv, zipline"
2,base,23,Relative Path Traversal,616,"aiohttp, apache-airflow, babel, flask-cors, gitpython, gradio, langchain, mlflow, nltk, onnx, pillow, pip, ray, starlette, streamlit, werkzeug","aim, blaze, chainer, colossalai, compreface, danswerai, deepface, digits, evidently, feast, igel, joligen, lightly, litellm, matplotlib, mindsdb, mlflow, nupic.studio, open-webui, pytorch-lightning, pytorchcv, rasa, ray, retro, river, spammy, stellargraph, streamlit, tensorflow, transformers, xcessiv, zipline"
3,base,36,Absolute Path Traversal,579,"aiohttp, apache-airflow, babel, flask-cors, gitpython, gradio, langchain, mlflow, nltk, onnx, pillow, pip, ray, starlette, streamlit, werkzeug","aim, blaze, chainer, colossalai, compreface, danswerai, deepface, digits, evidently, feast, igel, joligen, lightly, litellm, matplotlib, mindsdb, mlflow, nupic.studio, open-webui, pytorch-lightning, pytorchcv, rasa, ray, retro, river, spammy, stellargraph, streamlit, tensorflow, transformers, xcessiv, zipline"
4,base,41,Improper Resolution of Path Equivalence,599,"aiohttp, apache-airflow, flask, gitpython, gradio, h2o, ipython, litellm, mlflow, oauthlib, pip, pyyaml, tensorflow, werkzeug","aim, auto_viml, autoviz, blaze, catboost, cleanlab, cltk, colossalai, compreface, cornac, danswerai, deepface, digits, evidently, fedot, gradio, igel, joligen, litellm, mindsdb, minigrad, mlflow, nalp, neuroner, nn_builder, numpy, open-webui, pattern, petrel, pix2pix-keras, pytensor, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, skbel, spammy, stellargraph, streamlit, vizdoom, xcessiv, zipline"
5,base,59,Improper Link Resolution Before File Access ('Link Following'),56,"aiohttp, h2o","aim, danswerai, deepface, digits, fedot, joligen, lightwood, litellm, mindsdb, mlflow, open-webui, pytorch-lightning, pytorchcv, rasa, ray, streamlit, transformers, xcessiv"
6,base,73,External Control of File Name or Path,763,"aiohttp, apache-airflow, babel, flask, flask-cors, gitpython, gradio, h2o, ipython, langchain, lightning, litellm, mlflow, nltk, oauthlib, onnx, pillow, pip, pygments, pyyaml, ray, starlette, streamlit, tensorflow, werkzeug","aim, auto_viml, autoviz, blaze, catboost, chainer, cleanlab, cltk, colossalai, compreface, cornac, danswerai, deepface, determined, digits, evidently, feast, fedot, gradio, igel, joligen, lightly, litellm, matplotlib, mindsdb, minigrad, mlflow, nalp, neuroner, nn_builder, numpy, nupic.studio, open-webui, pattern, petrel, pix2pix-keras, pytensor, pytorch, pytorch-lightning, pytorchcv, rasa, ray, retro, river, sinabs, skbel, spammy, stellargraph, streamlit, tensorflow, transformers, vizdoom, xcessiv, zipline"
7,base,76,Improper Neutralization of Equivalent Special Elements,28,"black, jupyterlab, notebook","catalyst, cltk, colossalai, danswerai, determined, evidently, igel, joligen, lightly, litellm, matplotlib, minigrad, mlflow, rasa, ray, rep, spacy, streamlit, typer"
8,base,78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),222,"apache-airflow, celery, deepspeed, gradio, langchain, lxml, mlflow, pillow, pip, torch, tqdm, urllib3","aim, backprop, catboost, colossalai, compreface, cortex, danswerai, deepchecks, deeppavlov, detecto, determined, evidently, face_recognition, garage, gradio, igel, lightly, matplotlib, minigrad, mlflow, nn_builder, nupic.studio, pytorch-lightning, rasa, ray, retro, river, sinabs, stellargraph, superset, zipline"
9,base,79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),96,"aim, apache-airflow, gradio, jupyterlab, langchain, lxml, notebook, pillow, prefect, tqdm, urllib3, werkzeug","blaze, catboost, colossalai, compreface, danswerai, deeppavlov, evidently, gradio, igel, lightly, matplotlib, mindsdb, minigrad, mlflow, nupic.studio, rasa, ray, rep, river, stellargraph, tensorflow, zipline"
