,repo_name,counts
0,CompreFace,1
1,DI-engine,3
2,DIGITS,14
3,Flight_Fare_Prediction,1
4,PyTorchCV,2
5,aim,4
6,bokeh,3
7,caffe,1
8,catboost,42
9,cortex,1
10,couler,1
11,deepface,1
12,deeplake,2
13,determined,9
14,evidently,1
15,face_recognition,2
16,fastapi,1
17,feast,1
18,gensim,3
19,joliGEN,6
20,lightly,7
21,mindsdb,12
22,mlflow,8
23,numpy,1
24,nut,1
25,pattern,1
26,pattern_classification,1
27,pylearn2,1
28,python-timbl,1
29,pytorch,2
30,pytorch-lightning,8
31,rasa,1
32,ray,17
33,retro,4
34,scikit-learn-intelex,2
35,shogun,1
36,streamlit,9
37,tensorflow,1
38,transformers,15
39,typer,3
40,xcessiv,4
41,xgboost,1
