,repo_name,counts
0,AutoViz,4
1,Auto_ViML,4
2,ColossalAI,6
3,DIGITS,5
4,LightGBM,2
5,PyTorchCV,2
6,Theano,2
7,ViZDoom,1
8,aim,1
9,bentoml,3
10,blaze,2
11,bokeh,1
12,catboost,72
13,cornac,1
14,deepface,4
15,detectron2,2
16,determined,1
17,evidently,1
18,face_recognition,4
19,feast,1
20,gan,1
21,joliGEN,1
22,machine-learning,15
23,mindsdb,7
24,mlflow,2
25,nalp,1
26,numpy,1
27,pattern,1
28,pyss3,1
29,pytorch,4
30,pytorch-lightning,3
31,pytorch_geometric,16
32,rasa,4
33,ray,31
34,sinabs,1
35,spaCy,1
36,spammy,1
37,superset,4
