,nature,type,id,description,cwe_counts
0,CanFollow,base,1257,Improper Access Control Applied to Mirrored or Aliased Memory Regions,54
1,CanFollow,base,1260,Improper Handling of Overlap Between Protected Memory Ranges,54
2,CanFollow,base,1265,Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls,24
3,CanFollow,base,1272,Sensitive Information Uncleared Before Debug/Power State Transition,60
4,CanFollow,base,128,Wrap-around Error,54
5,CanFollow,base,1282,Assumed-Immutable Data is Stored in Writable Memory,4
6,CanFollow,base,131,Incorrect Calculation of Buffer Size,54
7,CanFollow,base,1322,"Use of Blocking Code in Single-threaded, Non-blocking Context",35
8,CanFollow,base,1325,Improperly Controlled Sequential Memory Allocation,467
9,CanFollow,base,1339,Insufficient Precision or Accuracy of a Real Number,54
10,CanFollow,base,170,Improper Null Termination,143
11,CanFollow,base,183,Permissive List of Allowed Inputs,15
12,CanFollow,base,184,Incomplete List of Disallowed Inputs,148
13,CanFollow,base,190,Integer Overflow or Wraparound,54
14,CanFollow,base,193,Off-by-one Error,670
15,CanFollow,base,208,Observable Timing Discrepancy,6
16,CanFollow,base,252,Unchecked Return Value,467
17,CanFollow,base,364,Signal Handler Race Condition,42
18,CanFollow,base,390,Detection of Error Condition Without Action,20
19,CanFollow,base,410,Insufficient Resource Pool,180
20,CanFollow,base,425,Direct Request ('Forced Browsing'),4
21,CanFollow,base,609,Double-Checked Locking,14
22,CanFollow,base,613,Insufficient Session Expiration,2
23,CanFollow,base,681,Incorrect Conversion between Numeric Types,9
24,CanFollow,base,73,External Control of File Name or Path,105
25,CanFollow,base,756,Missing Custom Error Page,3
26,CanFollow,base,822,Untrusted Pointer Dereference,810
27,CanFollow,base,823,Use of Out-of-range Pointer Offset,810
28,CanFollow,base,824,Access of Uninitialized Pointer,810
29,CanFollow,base,825,Expired Pointer Dereference,810
30,CanFollow,base,839,Numeric Range Comparison Without Minimum Check,63
31,CanFollow,base,843,Access of Resource Using Incompatible Type ('Type Confusion'),54
32,CanFollow,base,93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),7
33,CanFollow,class,116,Improper Encoding or Escaping of Output,30
34,CanFollow,class,172,Encoding Error,90
35,CanFollow,class,20,Improper Input Validation,209
36,CanFollow,class,441,Unintended Proxy or Intermediary ('Confused Deputy'),14
37,CanFollow,class,602,Client-Side Enforcement of Server-Side Security,4
38,CanFollow,class,662,Improper Synchronization,6
39,CanFollow,class,909,Missing Initialization of Resource,58
40,CanFollow,variant,113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),105
41,CanFollow,variant,1275,Sensitive Cookie with Improper SameSite Attribute,28
42,CanFollow,variant,129,Improper Validation of Array Index,54
43,CanFollow,variant,1321,Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),4
44,CanFollow,variant,195,Signed to Unsigned Conversion Error,54
45,CanFollow,variant,231,Improper Handling of Extra Values,143
46,CanFollow,variant,416,Use After Free,143
47,CanFollow,variant,456,Missing Initialization of a Variable,154
48,CanFollow,variant,481,Assigning instead of Comparing,82
49,CanFollow,variant,498,Cloneable Class Containing Sensitive Information,60
50,CanFollow,variant,499,Serializable Class Containing Sensitive Data,60
51,CanFollow,variant,600,Uncaught Exception in Servlet,3
52,CanFollow,variant,621,Variable Extraction Error,4
53,CanFollow,variant,789,Memory Allocation with Excessive Size Value,467
54,CanFollow,variant,942,Permissive Cross-domain Policy with Untrusted Domains,14
55,CanFollow,variant,98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),49
56,ChildOf,base,1341,Multiple Releases of Same Resource or Handle,18
57,ChildOf,base,201,Insertion of Sensitive Information Into Sent Data,4
58,ChildOf,base,203,Observable Discrepancy,9
59,ChildOf,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),24
60,ChildOf,base,23,Relative Path Traversal,37
61,ChildOf,base,288,Authentication Bypass Using an Alternate Path or Channel,3
62,ChildOf,base,328,Use of Weak Hash,1
63,ChildOf,base,538,Insertion of Sensitive Information into Externally-Accessible File or Directory,4
64,ChildOf,base,552,Files or Directories Accessible to External Parties,16
65,ChildOf,base,681,Incorrect Conversion between Numeric Types,9
66,ChildOf,base,772,Missing Release of Resource after Effective Lifetime,20
67,ChildOf,base,787,Out-of-bounds Write,29
68,ChildOf,base,788,Access of Memory Location After End of Buffer,29
69,ChildOf,base,79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),4
70,ChildOf,base,825,Expired Pointer Dereference,42
71,ChildOf,base,94,Improper Control of Generation of Code ('Code Injection'),4
72,ChildOf,class,116,Improper Encoding or Escaping of Output,7
73,ChildOf,class,1177,Use of Prohibited Code,18
74,ChildOf,class,118,Incorrect Access of Indexable Resource ('Range Error'),54
75,ChildOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,4208
76,ChildOf,class,1390,Weak Authentication,3
77,ChildOf,class,172,Encoding Error,6
78,ChildOf,class,20,Improper Input Validation,592
79,ChildOf,class,200,Exposure of Sensitive Information to an Unauthorized Actor,32
80,ChildOf,class,228,Improper Handling of Syntactically Invalid Structure,6
81,ChildOf,class,269,Improper Privilege Management,9
82,ChildOf,class,285,Improper Authorization,5
83,ChildOf,class,287,Improper Authentication,9
84,ChildOf,class,327,Use of a Broken or Risky Cryptographic Algorithm,1
85,ChildOf,class,330,Use of Insufficiently Random Values,2
86,ChildOf,class,345,Insufficient Verification of Data Authenticity,76
87,ChildOf,class,362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),28
88,ChildOf,class,400,Uncontrolled Resource Consumption,70
89,ChildOf,class,404,Improper Resource Shutdown or Release,44
90,ChildOf,class,405,Asymmetric Resource Consumption (Amplification),10
91,ChildOf,class,407,Inefficient Algorithmic Complexity,136
92,ChildOf,class,424,Improper Protection of Alternate Path,3
93,ChildOf,class,436,Interpretation Conflict,28
94,ChildOf,class,441,Unintended Proxy or Intermediary ('Confused Deputy'),15
95,ChildOf,class,514,Covert Channel,3
96,ChildOf,class,573,Improper Following of Specification by Caller,17
97,ChildOf,class,610,Externally Controlled Reference to a Resource in Another Sphere,66
98,ChildOf,class,642,External Control of Critical State Data,11
99,ChildOf,class,657,Violation of Secure Design Principles,9
100,ChildOf,class,662,Improper Synchronization,36
101,ChildOf,class,665,Improper Initialization,151
102,ChildOf,class,666,Operation on Resource in Wrong Phase of Lifetime,18
103,ChildOf,class,668,Exposure of Resource to Wrong Sphere,208
104,ChildOf,class,669,Incorrect Resource Transfer Between Spheres,30
105,ChildOf,class,670,Always-Incorrect Control Flow Implementation,1232
106,ChildOf,class,672,Operation on a Resource after Expiration or Release,126
107,ChildOf,class,673,External Influence of Sphere Definition,10
108,ChildOf,class,684,Incorrect Provision of Specified Functionality,6
109,ChildOf,class,704,Incorrect Type Conversion or Cast,202
110,ChildOf,class,705,Incorrect Control Flow Scoping,1
111,ChildOf,class,706,Use of Incorrectly-Resolved Name or Reference,180
112,ChildOf,class,732,Incorrect Permission Assignment for Critical Resource,6
113,ChildOf,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),466
114,ChildOf,class,754,Improper Check for Unusual or Exceptional Conditions,960
115,ChildOf,class,755,Improper Handling of Exceptional Conditions,4
116,ChildOf,class,77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),84
117,ChildOf,class,799,Improper Control of Interaction Frequency,1
118,ChildOf,class,834,Excessive Iteration,97
119,ChildOf,class,862,Missing Authorization,6
120,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,469
121,ChildOf,class,943,Improper Neutralization of Special Elements in Data Query Logic,11
122,ChildOf,pillar,284,Improper Access Control,20
123,ChildOf,pillar,664,Improper Control of a Resource Through its Lifetime,262
124,ChildOf,pillar,682,Incorrect Calculation,2194
125,ChildOf,pillar,691,Insufficient Control Flow Management,80
126,ChildOf,pillar,693,Protection Mechanism Failure,41
127,ChildOf,pillar,703,Improper Check or Handling of Exceptional Conditions,95
128,ChildOf,pillar,707,Improper Neutralization,572
129,ChildOf,pillar,710,Improper Adherence to Coding Standards,467
130,MemberOf,category,1001,SFP Secondary Cluster: Use of an Improper API,640
