,nature,type,id,description,cwe_counts,cwe_id
3,ChildOf,pillar,707,Improper Neutralization,81,20
4,ParentOf,base,179,Incorrect Behavior Order: Early Validation,81,20
5,ParentOf,variant,622,Improper Validation of Function Hook Arguments,81,20
6,ParentOf,base,1173,Improper Use of Validation Framework,81,20
7,ParentOf,base,1284,Improper Validation of Specified Quantity in Input,81,20
8,ParentOf,base,1285,"Improper Validation of Specified Index, Position, or Offset in Input",81,20
9,ParentOf,base,1286,Improper Validation of Syntactic Correctness of Input,81,20
10,ParentOf,base,1287,Improper Validation of Specified Type of Input,81,20
11,ParentOf,base,1288,Improper Validation of Consistency within Input,81,20
12,ParentOf,base,1289,Improper Validation of Unsafe Equivalence in Input,81,20
13,PeerOf,class,345,Insufficient Verification of Data Authenticity,81,20
14,CanPrecede,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),81,20
15,CanPrecede,base,41,Improper Resolution of Path Equivalence,81,20
16,CanPrecede,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),81,20
17,CanPrecede,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,81,20
18,CanPrecede,base,770,Allocation of Resources Without Limits or Throttling,81,20
19,MemberOf,view,1003,Weaknesses for Simplified Mapping of Published Vulnerabilities,81,20
20,ParentOf,variant,129,Improper Validation of Array Index,81,20
21,ParentOf,base,1284,Improper Validation of Specified Quantity in Input,81,20
22,MemberOf,category,1019,Validate Inputs,81,20
23,ParentOf,base,15,External Control of System or Configuration Setting,81,20
24,ParentOf,base,73,External Control of File Name or Path,81,20
25,ParentOf,variant,102,Struts: Duplicate Validation Forms,81,20
26,ParentOf,variant,103,Struts: Incomplete validate() Method Definition,81,20
27,ParentOf,variant,104,Struts: Form Bean Does Not Extend Validation Class,81,20
28,ParentOf,variant,105,Struts: Form Field Without Validator,81,20
29,ParentOf,variant,106,Struts: Plug-in Framework not in Use,81,20
30,ParentOf,variant,107,Struts: Unused Validation Form,81,20
31,ParentOf,variant,108,Struts: Unvalidated Action Form,81,20
32,ParentOf,variant,109,Struts: Validator Turned Off,81,20
33,ParentOf,variant,110,Struts: Validator Without Form Field,81,20
34,ParentOf,variant,111,Direct Use of Unsafe JNI,81,20
35,ParentOf,base,112,Missing XML Validation,81,20
36,ParentOf,variant,113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),81,20
37,ParentOf,class,114,Process Control,81,20
38,ParentOf,base,117,Improper Output Neutralization for Logs,81,20
39,ParentOf,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,81,20
40,ParentOf,base,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),81,20
41,ParentOf,base,134,Use of Externally-Controlled Format String,81,20
42,ParentOf,base,170,Improper Null Termination,81,20
43,ParentOf,base,190,Integer Overflow or Wraparound,81,20
44,ParentOf,base,466,Return of Pointer Value Outside of Expected Range,81,20
45,ParentOf,base,470,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),81,20
46,ParentOf,variant,785,Use of Path Manipulation Function without Maximum-sized Buffer,81,20
47,MemberOf,view,635,Weaknesses Originally Used by NVD from 2008 to 2016,81,20
48,MemberOf,category,722,OWASP Top Ten 2004 Category A1 - Unvalidated Input,81,20
49,MemberOf,category,738,CERT C Secure Coding Standard (2008) Chapter 5 - Integers (INT),81,20
50,MemberOf,category,742,CERT C Secure Coding Standard (2008) Chapter 9 - Memory Management (MEM),81,20
51,MemberOf,category,746,CERT C Secure Coding Standard (2008) Chapter 13 - Error Handling (ERR),81,20
52,MemberOf,category,747,CERT C Secure Coding Standard (2008) Chapter 14 - Miscellaneous (MSC),81,20
53,MemberOf,category,751,2009 Top 25 - Insecure Interaction Between Components,81,20
54,MemberOf,category,872,CERT C++ Secure Coding Section 04 - Integers (INT),81,20
55,MemberOf,category,876,CERT C++ Secure Coding Section 08 - Memory Management (MEM),81,20
56,MemberOf,category,883,CERT C++ Secure Coding Section 49 - Miscellaneous (MSC),81,20
57,MemberOf,category,994,SFP Secondary Cluster: Tainted Input to Variable,81,20
58,MemberOf,category,1005,7PK - Input Validation and Representation,81,20
59,MemberOf,category,1163,SEI CERT C Coding Standard - Guidelines 09. Input Output (FIO),81,20
60,MemberOf,view,1200,Weaknesses in the 2019 CWE Top 25 Most Dangerous Software Errors,81,20
61,MemberOf,view,1337,Weaknesses in the 2021 CWE Top 25 Most Dangerous Software Weaknesses,81,20
62,MemberOf,category,1347,OWASP Top Ten 2021 Category A03:2021 - Injection,81,20
63,MemberOf,view,1350,Weaknesses in the 2020 CWE Top 25 Most Dangerous Software Weaknesses,81,20
64,MemberOf,category,1382,ICS Operations (& Maintenance): Emerging Energy Technologies,81,20
65,MemberOf,view,1387,Weaknesses in the 2022 CWE Top 25 Most Dangerous Software Weaknesses,81,20
66,MemberOf,category,1406,Comprehensive Categorization: Improper Input Validation,81,20
67,MemberOf,view,1425,Weaknesses in the 2023 CWE Top 25 Most Dangerous Software Weaknesses,81,20
68,MemberOf,view,1430,Weaknesses in the 2024 CWE Top 25 Most Dangerous Software Weaknesses,81,20
3,ChildOf,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),14,79
4,ParentOf,variant,80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),14,79
5,ParentOf,variant,81,Improper Neutralization of Script in an Error Message Web Page,14,79
6,ParentOf,variant,83,Improper Neutralization of Script in Attributes in a Web Page,14,79
7,ParentOf,variant,84,Improper Neutralization of Encoded URI Schemes in a Web Page,14,79
8,ParentOf,variant,85,Doubled Character XSS Manipulations,14,79
9,ParentOf,variant,86,Improper Neutralization of Invalid Characters in Identifiers in Web Pages,14,79
10,ParentOf,variant,87,Improper Neutralization of Alternate XSS Syntax,14,79
