,nature,type,id,description,cwe_counts
0,CanFollow,base,1272,Sensitive Information Uncleared Before Debug/Power State Transition,59
1,CanFollow,base,184,Incomplete List of Disallowed Inputs,14
2,CanFollow,base,208,Observable Timing Discrepancy,23
3,CanFollow,base,410,Insufficient Resource Pool,25
4,CanFollow,base,489,Active Debug Code,10
5,CanFollow,base,73,External Control of File Name or Path,37
6,CanFollow,base,756,Missing Custom Error Page,51
7,CanFollow,class,172,Encoding Error,37
8,CanFollow,class,20,Improper Input Validation,37
9,CanFollow,variant,113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),14
10,CanFollow,variant,498,Cloneable Class Containing Sensitive Information,59
11,CanFollow,variant,499,Serializable Class Containing Sensitive Data,59
12,CanFollow,variant,600,Uncaught Exception in Servlet,51
13,CanFollow,variant,98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),1
14,CanPrecede,base,182,Collapse of Data into Unsafe Value,2
15,CanPrecede,base,215,Insertion of Sensitive Information Into Debugging Code,10
16,CanPrecede,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),140
17,CanPrecede,base,41,Improper Resolution of Path Equivalence,140
18,CanPrecede,base,434,Unrestricted Upload of File with Dangerous Type,37
19,CanPrecede,base,494,Download of Code Without Integrity Check,14
20,CanPrecede,base,59,Improper Link Resolution Before File Access ('Link Following'),37
21,CanPrecede,base,770,Allocation of Resources Without Limits or Throttling,103
22,CanPrecede,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,103
23,CanPrecede,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),120
24,CanPrecede,variant,187,Partial String Comparison,2
25,CanPrecede,variant,98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),37
26,ChildOf,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),222
27,ChildOf,base,312,Cleartext Storage of Sensitive Information,19
28,ChildOf,base,328,Use of Weak Hash,11
