,Unnamed: 0,nature,type,id,description,cwe_counts,cwe_id,repos
0,3,ChildOf,pillar,707,Improper Neutralization,81,20,"['danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost']"
1,4,ParentOf,base,179,Incorrect Behavior Order: Early Validation,81,20,"['danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost']"
2,5,ParentOf,variant,622,Improper Validation of Function Hook Arguments,81,20,"['danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost']"
3,6,ParentOf,base,1173,Improper Use of Validation Framework,81,20,"['danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost']"
4,7,ParentOf,base,1284,Improper Validation of Specified Quantity in Input,81,20,"['danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost']"
5,8,ParentOf,base,1285,"Improper Validation of Specified Index, Position, or Offset in Input",81,20,"['danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost']"
6,9,ParentOf,base,1286,Improper Validation of Syntactic Correctness of Input,81,20,"['danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost']"
7,10,ParentOf,base,1287,Improper Validation of Specified Type of Input,81,20,"['danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost']"
8,11,ParentOf,base,1288,Improper Validation of Consistency within Input,81,20,"['danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost']"
9,12,ParentOf,base,1289,Improper Validation of Unsafe Equivalence in Input,81,20,"['danswerai', 'rasa', 'pytorch', 'mindsdb', 'AutoViz', 'Auto_ViML', 'spammy', 'pytensor', 'ViZDoom', 'nalp', 'numpy', 'pattern', 'catboost']"
