,security_advisory.cve_id,security_advisory.severity,security_advisory.summary,security_advisory.description,counts
0,CVE-2018-19351,medium,Jupyter Notebook XSS via untrusted notebooks,"Jupyter Notebook before 5.7.1 allows XSS via an untrusted notebook because nbconvert responses are considered to have the same origin as the notebook server. In other words, nbconvert endpoints can execute JavaScript with access to the server API. In notebook/nbconvert/handlers.py, NbconvertFileHandler and NbconvertPostHandler do not set a Content Security Policy to prevent this.",1
1,CVE-2018-19352,medium,Jupyter Notebook XSS via directory name,Jupyter Notebook before 5.7.2 allows XSS via a crafted directory name because notebook/static/tree/js/notebooklist.js handles certain URLs unsafely.,1
2,CVE-2018-21030,medium,Cross-site scripting in Jupyter Notebook,"Jupyter Notebook before 5.5.0 does not use a CSP header to treat served files as belonging to a separate origin. Thus, for example, an XSS payload can be placed in an SVG document.",1
3,CVE-2018-21233,medium,Out-of-bounds read in TensorFlow possibly causing disclosure of the contents of process memory.,"TensorFlow before 1.7.0 has an integer overflow that causes an out-of-bounds read, possibly causing disclosure of the contents of process memory. This occurs in the DecodeBmp feature of the BMP decoder in core/kernels/decode_bmp_op.cc.",1
4,CVE-2018-7576,medium,Null pointer dereference in TensorFlow leads to exploitation,Google TensorFlow 1.6.x and earlier is affected by: Null Pointer Dereference. The type of exploitation is: context-dependent.,1
5,CVE-2019-10255,medium,Open Redirect vulnerability in jupyterhub and notebook,"An Open Redirect vulnerability for all browsers in Jupyter Notebook before 5.7.8 and some browsers (Chrome, Firefox) in JupyterHub before 0.9.6 allows crafted links to the login page, which will redirect to a malicious site after successful login. Servers running on a base_url prefix are not affected.",1
6,CVE-2019-10856,medium,Jupyter Notebook open redirect vulnerability,"In Jupyter Notebook before 5.7.8, an open redirect can occur via an empty netloc. This issue exists because of an incomplete fix for CVE-2019-10255.",1
7,CVE-2019-15939,medium,Divide By Zero in OpenCV.,An issue was discovered in OpenCV 4.1.0 (OpenCV-Python 4.1.0.25). There is a divide-by-zero error in cv::HOGDescriptor::getDescriptorSize in modules/objdetect/src/hog.cpp.,1
8,CVE-2019-16249,medium,Out-of-bounds Read in OpenCV,OpenCV 4.1.1 has an out-of-bounds read in hal_baseline::v_load in core/hal/intrin_sse.hpp when called from computeSSDMeanNorm in modules/video/src/dis_flow.cpp.,1
9,CVE-2019-19624,medium,Out-of-bounds Read in OpenCV,"An out-of-bounds read was discovered in OpenCV before 4.1.1 (OpenCV-Python before 4.1.0.25). Specifically, variable coarsest_scale is assumed to be greater than or equal to finest_scale within the calc()/ocl_calc() functions in dis_flow.cpp. However, this is not true when dealing with small images, leading to an out-of-bounds read of the heap-allocated arrays Ux and Uy.",1
10,CVE-2019-9635,medium,NULL Pointer Dereference in Google TensorFlow,NULL pointer dereference in Google TensorFlow before 1.12.2 could cause a denial of service via an invalid GIF file.,1
11,CVE-2020-10177,medium,Out-of-bounds reads in Pillow,Pillow before 7.1.0 has multiple out-of-bounds reads in `libImaging/FliDecode.c`.,1
12,CVE-2020-10378,medium,Out-of-bounds read in Pillow,"In `libImaging/PcxDecode.c` in Pillow before 7.1.0, an out-of-bounds read can occur when reading PCX files where `state->shuffle` is instructed to read beyond `state->buffer`.",1
13,CVE-2020-10994,medium,Out-of-bounds reads in Pillow,"In `libImaging/Jpeg2KDecode.c` in Pillow before 7.1.0, there are multiple out-of-bounds reads via a crafted JP2 file.",1
