,repo_name,counts
0,ColossalAI,16
1,CompreFace,8
2,DIGITS,5
3,DeepPavlov,1
4,FEDOT,1
5,NeuroNER,6
6,Petrel,2
7,aim,4
8,backprop,4
9,bentoml,1
10,blaze,9
11,cltk,1
12,cornac,9
13,cortex,11
14,deepchecks,1
15,detecto,1
16,determined,10
17,evidently,19
18,feast,3
19,garage,1
20,gradio,2
21,igel,10
22,lightly,5
23,matplotlib,4
24,mindsdb,9
25,minigrad,3
26,mlens,1
27,mlflow,29
28,nn_builder,4
29,nupic.studio,5
30,open-webui,2
31,pix2pix-keras,4
32,rasa,3
33,ray,47
34,rep,1
35,sinabs,1
36,skbel,2
37,snips-nlu,1
38,sparklingpandas,1
39,stellargraph,4
40,suiron,2
41,superset,3
42,transformers,11
43,typer,1
44,zipline,5
