,repo_name,counts
0,ColossalAI,23
1,CompreFace,111
2,DI-engine,1
3,DIGITS,7
4,DeepPavlov,2
5,Flight_Fare_Prediction,133
6,Lasagne,2
7,Neuraxle,1
8,NeuroNER,99
9,PyTorchCV,5
10,aim,25
11,backprop,2
12,bentoml,1
13,bigartm,3
14,blaze,15
15,chainer,2
16,cltk,1
17,cornac,209
18,cortex,4
19,dash-svm,1
20,deep-high-resolution-net.pytorch,6
21,determined,7
22,evidently,43
23,face_recognition,3
24,feast,3
25,fuku-ml,3
26,gensim,4
27,gradio,10
28,handson-ml,97
29,homemade-machine-learning,1
30,igel,84
31,lightly,19
32,matplotlib,16
33,mindsdb,4
34,minigrad,12
35,mlflow,100
36,neural-networks-and-deep-learning,1
37,nn_builder,93
38,nupic.studio,18
39,pix2pix-keras,2
40,prodmodel,1
41,pytorch-lightning,6
42,rasa,9
43,ray,164
44,rep,4
45,retro,4
46,river,1
47,scikit-multiflow,2
48,sinabs,2
49,skbel,9
50,snips-nlu,1
51,spammy,4
52,sparklingpandas,2
53,stellargraph,20
54,suiron,2
55,superset,11
56,tensorflow,7
57,thampi,2
58,transformers,15
59,typer,1
60,zipline,33
