,repo_name,counts
0,ColossalAI,17
1,CompreFace,101
2,DeepPavlov,2
3,NeuroNER,99
4,aim,4
5,backprop,2
6,bentoml,1
7,blaze,1
8,catboost,1
9,cleanlab,1
10,cltk,1
11,cornac,105
12,cortex,4
13,danswerai,1
14,deepchecks,2
15,determined,5
16,evidently,9
17,face_recognition,3
18,feast,6
19,gradio,4
20,igel,12
21,lightly,2
22,lightwood,1
23,matplotlib,1
24,mindsdb,1
25,minigrad,2
26,mlflow,3
27,nn_builder,96
28,nupic.studio,1
29,pytorch,1
30,pytorch-lightning,1
31,rasa,4
32,ray,38
33,rep,1
34,river,2
35,scikit-learn-intelex,1
36,sinabs,1
37,skbel,2
38,stellargraph,2
39,superset,3
40,tensorflow,5
41,transformers,13
42,zipline,3
