,repo_name,counts
0,ColossalAI,17
1,CompreFace,209
2,DIGITS,2
3,DeepPavlov,1
4,Flight_Fare_Prediction,231
5,Lasagne,3
6,NeuroNER,199
7,PySyft,1
8,aim,101
9,albumentations,1
10,backprop,2
11,blaze,10
12,catalyst,3
13,chainer,1
14,cleanlab,4
15,cltk,2
16,cornac,493
17,cortex,8
18,couler,2
19,dash-svm,6
20,deep-high-resolution-net.pytorch,3
21,deeplake,1
22,determined,6
23,dl-translate,2
24,evidently,40
25,face_recognition,4
26,feast,6
27,frouros,1
28,fuku-ml,3
29,gradio,10
30,handson-ml,188
31,homemade-machine-learning,3
32,igel,185
33,joliGEN,4
34,lightly,16
35,lightwood,1
36,matplotlib,9
37,maze,2
38,mindsdb,1
39,minigrad,20
40,mlflow,26
41,modAL,2
42,neural-networks-and-deep-learning,3
43,nn_builder,190
44,nupic.studio,11
45,pix2pix-keras,3
46,pomegranate,1
47,prodmodel,3
48,pytorch,4
49,pytorch-lightning,8
50,rasa,21
51,ray,235
52,rep,9
53,retro,3
54,river,2
55,scikit-learn-intelex,1
56,scikit-multiflow,6
57,sinabs,11
58,skbel,15
59,spaCy,1
60,sparklingpandas,3
61,statsmodels,2
62,stellargraph,10
63,streamlit,1
64,suiron,3
65,superset,8
66,tensorflow,5
67,transformers,21
68,typer,2
69,zipline,33
