,number,state,url,html_url,created_at,updated_at,dismissed_at,dismissed_by,dismissed_reason,dismissed_comment,fixed_at,auto_dismissed_at,dependency.package.ecosystem,dependency.package.name,dependency.manifest_path,dependency.scope,security_advisory.ghsa_id,security_advisory.cve_id,security_advisory.summary,security_advisory.description,security_advisory.severity,security_advisory.identifiers,security_advisory.references,security_advisory.published_at,security_advisory.updated_at,security_advisory.withdrawn_at,security_advisory.vulnerabilities,security_advisory.cvss.vector_string,security_advisory.cvss.score,security_advisory.cwes,security_vulnerability.package.ecosystem,security_vulnerability.package.name,security_vulnerability.severity,security_vulnerability.vulnerable_version_range,security_vulnerability.first_patched_version,security_vulnerability.first_patched_version.identifier,repo_name
0,6,open,https://api.github.com/repos/fcas/neural-networks-and-deep-learning/dependabot/alerts/6,https://github.com/fcas/neural-networks-and-deep-learning/security/dependabot/6,2024-05-24T01:33:57Z,2024-05-24T01:33:57Z,,,,,,,pip,scikit-learn,requirements.txt,runtime,GHSA-jjw5-xxj6-pcv5,CVE-2020-13092,scikit-learn Deserialization of Untrusted Data,"scikit-learn (aka sklearn) through 0.23.0 can unserialize and execute commands from an untrusted file that is passed to the `joblib.load()` function, if `__reduce__` makes an `os.system call`.
NOTE: third parties dispute this issue because the joblib.load() function is documented as unsafe and it is the user's responsibility to use the function in a secure manner.",critical,"[{'value': 'GHSA-jjw5-xxj6-pcv5', 'type': 'GHSA'}, {'value': 'CVE-2020-13092', 'type': 'CVE'}]","[{'url': 'https://nvd.nist.gov/vuln/detail/CVE-2020-13092'}, {'url': 'https://github.com/0FuzzingQ/vuln/blob/master/sklearn%20unserialize.md'}, {'url': 'https://scikit-learn.org/stable/modules/model_persistence.html#security-maintainability-limitations'}, {'url': 'https://github.com/advisories/GHSA-jjw5-xxj6-pcv5'}]",2022-05-24T17:17:59Z,2024-04-22T22:55:45Z,,"[{'package': {'ecosystem': 'pip', 'name': 'scikit-learn'}, 'severity': 'critical', 'vulnerable_version_range': '<= 0.23.0', 'first_patched_version': None}]",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,"[{'cwe_id': 'CWE-502', 'name': 'Deserialization of Untrusted Data'}]",pip,scikit-learn,critical,<= 0.23.0,,,neural-networks-and-deep-learning
1,5,open,https://api.github.com/repos/fcas/neural-networks-and-deep-learning/dependabot/alerts/5,https://github.com/fcas/neural-networks-and-deep-learning/security/dependabot/5,2024-05-24T01:33:57Z,2024-05-24T01:33:57Z,,,,,,,pip,numpy,requirements.txt,runtime,GHSA-9fq2-x9r6-wfmf,CVE-2019-6446,Numpy Deserialization of Untrusted Data,"** DISPUTED **   An issue was discovered in NumPy 1.16.0 and earlier. It uses the pickle Python module unsafely, which allows remote attackers to execute arbitrary code via a crafted serialized object, as demonstrated by a numpy.load call. NOTE: third parties dispute this issue because it is  a behavior that might have legitimate applications in (for example)  loading serialized Python object arrays from trusted and authenticated  sources.",critical,"[{'value': 'GHSA-9fq2-x9r6-wfmf', 'type': 'GHSA'}, {'value': 'CVE-2019-6446', 'type': 'CVE'}]","[{'url': 'https://nvd.nist.gov/vuln/detail/CVE-2019-6446'}, {'url': 'https://github.com/numpy/numpy/issues/12759'}, {'url': 'https://bugzilla.suse.com/show_bug.cgi?id=1122208'}, {'url': 'http://lists.opensuse.org/opensuse-security-announce/2019-09/msg00091.html'}, {'url': 'http://lists.opensuse.org/opensuse-security-announce/2019-09/msg00092.html'}, {'url': 'http://lists.opensuse.org/opensuse-security-announce/2019-10/msg00015.html'}, {'url': 'https://github.com/numpy/numpy/pull/12889'}, {'url': 'https://access.redhat.com/errata/RHSA-2019:3335'}, {'url': 'https://access.redhat.com/errata/RHSA-2019:3704'}, {'url': 'https://lists.fedoraproject.org/archives/list/package-announce%40lists.fedoraproject.org/message/7ZZAYIQNUUYXGMKHSPEEXS4TRYFOUYE4'}, {'url': 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/7ZZAYIQNUUYXGMKHSPEEXS4TRYFOUYE4'}, {'url': 'https://web.archive.org/web/20210124234613/https://www.securityfocus.com/bid/106670'}, {'url': 'http://www.securityfocus.com/bid/106670'}, {'url': 'https://github.com/advisories/GHSA-9fq2-x9r6-wfmf'}]",2022-05-24T22:00:57Z,2024-04-22T21:20:59Z,,"[{'package': {'ecosystem': 'pip', 'name': 'numpy'}, 'severity': 'critical', 'vulnerable_version_range': '<= 1.16.0', 'first_patched_version': None}]",CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,"[{'cwe_id': 'CWE-502', 'name': 'Deserialization of Untrusted Data'}]",pip,numpy,critical,<= 1.16.0,,,neural-networks-and-deep-learning
2,4,open,https://api.github.com/repos/fcas/neural-networks-and-deep-learning/dependabot/alerts/4,https://github.com/fcas/neural-networks-and-deep-learning/security/dependabot/4,2024-05-24T01:33:56Z,2024-05-24T01:33:56Z,,,,,,,pip,numpy,requirements.txt,runtime,GHSA-fpfv-jqm9-f5jm,CVE-2021-34141,Incorrect Comparison in NumPy,"Incomplete string comparison in the numpy.core component in NumPy1.9.x, which allows attackers to fail the APIs via constructing specific string objects.",medium,"[{'value': 'GHSA-fpfv-jqm9-f5jm', 'type': 'GHSA'}, {'value': 'CVE-2021-34141', 'type': 'CVE'}]","[{'url': 'https://nvd.nist.gov/vuln/detail/CVE-2021-34141'}, {'url': 'https://github.com/numpy/numpy/issues/18993'}, {'url': 'https://www.oracle.com/security-alerts/cpujul2022.html'}, {'url': 'https://github.com/numpy/numpy/issues/18993#issuecomment-1010735102'}, {'url': 'https://github.com/advisories/GHSA-fpfv-jqm9-f5jm'}, {'url': 'https://github.com/pypa/advisory-database/tree/main/vulns/numpy/PYSEC-2021-855.yaml'}]",2021-12-18T00:00:41Z,2023-01-27T05:07:10Z,,"[{'package': {'ecosystem': 'pip', 'name': 'numpy'}, 'severity': 'medium', 'vulnerable_version_range': '< 1.22', 'first_patched_version': {'identifier': '1.22'}}]",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3,"[{'cwe_id': 'CWE-697', 'name': 'Incorrect Comparison'}]",pip,numpy,medium,< 1.22,,1.22,neural-networks-and-deep-learning
3,3,open,https://api.github.com/repos/fcas/neural-networks-and-deep-learning/dependabot/alerts/3,https://github.com/fcas/neural-networks-and-deep-learning/security/dependabot/3,2024-05-24T01:33:56Z,2024-05-24T01:33:56Z,,,,,,,pip,numpy,requirements.txt,runtime,GHSA-5545-2q6w-2gh6,CVE-2021-41495,NumPy NULL Pointer Dereference,"Null Pointer Dereference vulnerability exists in numpy.sort in NumPy &lt and 1.19 in the PyArray_DescrNew function due to missing return-value validation, which allows attackers to conduct DoS attacks by repetitively creating sort arrays.",high,"[{'value': 'GHSA-5545-2q6w-2gh6', 'type': 'GHSA'}, {'value': 'CVE-2021-41495', 'type': 'CVE'}]","[{'url': 'https://nvd.nist.gov/vuln/detail/CVE-2021-41495'}, {'url': 'https://github.com/numpy/numpy/issues/19038'}, {'url': 'https://www.oracle.com/security-alerts/cpujul2022.html'}, {'url': 'https://github.com/advisories/GHSA-5545-2q6w-2gh6'}, {'url': 'https://github.com/pypa/advisory-database/tree/main/vulns/numpy/PYSEC-2021-856.yaml'}]",2022-02-08T00:00:56Z,2023-01-29T05:01:55Z,,"[{'package': {'ecosystem': 'pip', 'name': 'numpy'}, 'severity': 'high', 'vulnerable_version_range': '<= 1.18.5', 'first_patched_version': {'identifier': '1.19'}}]",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,"[{'cwe_id': 'CWE-476', 'name': 'NULL Pointer Dereference'}]",pip,numpy,high,<= 1.18.5,,1.19,neural-networks-and-deep-learning
4,2,open,https://api.github.com/repos/fcas/neural-networks-and-deep-learning/dependabot/alerts/2,https://github.com/fcas/neural-networks-and-deep-learning/security/dependabot/2,2024-05-24T01:33:56Z,2024-05-24T01:33:56Z,,,,,,,pip,numpy,requirements.txt,runtime,GHSA-f7c7-j99h-c22f,CVE-2021-41496,Buffer Copy without Checking Size of Input in NumPy,"Buffer overflow in the array_from_pyobj function of fortranobject.c in NumPy < 1.19, which allows attackers to conduct a Denial of Service attacks by carefully constructing an array with negative values.",medium,"[{'value': 'GHSA-f7c7-j99h-c22f', 'type': 'GHSA'}, {'value': 'CVE-2021-41496', 'type': 'CVE'}]","[{'url': 'https://nvd.nist.gov/vuln/detail/CVE-2021-41496'}, {'url': 'https://github.com/numpy/numpy/issues/19000'}, {'url': 'https://www.oracle.com/security-alerts/cpujul2022.html'}, {'url': 'https://github.com/advisories/GHSA-f7c7-j99h-c22f'}]",2022-02-08T00:00:56Z,2023-01-27T05:02:20Z,,"[{'package': {'ecosystem': 'pip', 'name': 'numpy'}, 'severity': 'medium', 'vulnerable_version_range': '<= 1.18.5', 'first_patched_version': {'identifier': '1.19'}}]",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,5.5,"[{'cwe_id': 'CWE-120', 'name': ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')""}]",pip,numpy,medium,<= 1.18.5,,1.19,neural-networks-and-deep-learning
5,1,open,https://api.github.com/repos/fcas/neural-networks-and-deep-learning/dependabot/alerts/1,https://github.com/fcas/neural-networks-and-deep-learning/security/dependabot/1,2024-05-24T01:33:56Z,2024-05-24T01:33:56Z,,,,,,,pip,numpy,requirements.txt,runtime,GHSA-6p56-wp2h-9hxr,CVE-2021-33430,NumPy Buffer Overflow (Disputed),"A Buffer Overflow vulnerability exists in NumPy 1.9.x in the PyArray_NewFromDescr_int function of ctors.c when specifying arrays of large dimensions (over 32) from Python code, which could let a malicious user cause a Denial of Service.

NOTE: The vendor does not agree this is a vulnerability; In (very limited) circumstances a user may be able provoke the buffer overflow, the user is most likely already privileged to at least provoke denial of service by exhausting memory. Triggering this further requires the use of uncommon API (complicated structured dtypes), which is very unlikely to be available to an unprivileged user.",medium,"[{'value': 'GHSA-6p56-wp2h-9hxr', 'type': 'GHSA'}, {'value': 'CVE-2021-33430', 'type': 'CVE'}]","[{'url': 'https://nvd.nist.gov/vuln/detail/CVE-2021-33430'}, {'url': 'https://github.com/numpy/numpy/issues/18939'}, {'url': 'https://github.com/numpy/numpy/commit/ae317fd9ff3e79c0eac357d723bfc29cbd625f2e'}, {'url': 'https://github.com/advisories/GHSA-6p56-wp2h-9hxr'}]",2022-01-07T00:09:39Z,2024-01-11T21:28:19Z,,"[{'package': {'ecosystem': 'pip', 'name': 'numpy'}, 'severity': 'medium', 'vulnerable_version_range': '>= 1.9.0, < 1.21', 'first_patched_version': {'identifier': '1.21'}}]",CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H,5.3,"[{'cwe_id': 'CWE-120', 'name': ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')""}]",pip,numpy,medium,">= 1.9.0, < 1.21",,1.21,neural-networks-and-deep-learning
0,2,open,https://api.github.com/repos/fcas/albumentations/dependabot/alerts/2,https://github.com/fcas/albumentations/security/dependabot/2,2024-05-19T20:16:29Z,2024-05-19T20:16:29Z,,,,,,,pip,Jinja2,benchmark/requirements.txt,runtime,GHSA-h75v-3vvj-5mfj,CVE-2024-34064,Jinja vulnerable to HTML attribute injection when passing user input as keys to xmlattr filter,"The `xmlattr` filter in affected versions of Jinja accepts keys containing non-attribute characters. XML/HTML attributes cannot contain spaces, `/`, `>`, or `=`, as each would then be interpreted as starting a separate attribute. If an application accepts keys (as opposed to only values) as user input, and renders these in pages that other users see as well, an attacker could use this to inject other attributes and perform XSS. The fix for the previous GHSA-h5c8-rqwp-cp95 CVE-2024-22195 only addressed spaces but not other characters.

Accepting keys as user input is now explicitly considered an unintended use case of the `xmlattr` filter, and code that does so without otherwise validating the input should be flagged as insecure, regardless of Jinja version. Accepting _values_ as user input continues to be safe.",medium,"[{'value': 'GHSA-h75v-3vvj-5mfj', 'type': 'GHSA'}, {'value': 'CVE-2024-34064', 'type': 'CVE'}]","[{'url': 'https://github.com/pallets/jinja/security/advisories/GHSA-h75v-3vvj-5mfj'}, {'url': 'https://github.com/pallets/jinja/commit/0668239dc6b44ef38e7a6c9f91f312fd4ca581cb'}, {'url': 'https://nvd.nist.gov/vuln/detail/CVE-2024-34064'}, {'url': 'https://github.com/advisories/GHSA-h75v-3vvj-5mfj'}]",2024-05-06T14:20:59Z,2024-05-06T16:17:32Z,,"[{'package': {'ecosystem': 'pip', 'name': 'Jinja2'}, 'severity': 'medium', 'vulnerable_version_range': '< 3.1.4', 'first_patched_version': {'identifier': '3.1.4'}}]",CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,5.4,"[{'cwe_id': 'CWE-79', 'name': ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')""}]",pip,Jinja2,medium,< 3.1.4,,3.1.4,albumentations
1,1,open,https://api.github.com/repos/fcas/albumentations/dependabot/alerts/1,https://github.com/fcas/albumentations/security/dependabot/1,2024-05-19T20:16:29Z,2024-05-19T20:16:29Z,,,,,,,pip,tqdm,benchmark/requirements.txt,runtime,GHSA-g7vv-2v7x-gj9p,CVE-2024-34062,tqdm CLI arguments injection attack,"### Impact
Any optional non-boolean CLI arguments (e.g. `--delim`, `--buf-size`, `--manpath`) are passed through python's `eval`, allowing arbitrary code execution. Example:

```sh
python -m tqdm --manpath=""\"" + str(exec(\""import os\nos.system('echo hi && killall python3')\"")) + \""""
```

### Patches
https://github.com/tqdm/tqdm/commit/4e613f84ed2ae029559f539464df83fa91feb316 released in `tqdm>=4.66.3`

### Workarounds
None

### References
- https://github.com/tqdm/tqdm/releases/tag/v4.66.3",low,"[{'value': 'GHSA-g7vv-2v7x-gj9p', 'type': 'GHSA'}, {'value': 'CVE-2024-34062', 'type': 'CVE'}]","[{'url': 'https://github.com/tqdm/tqdm/security/advisories/GHSA-g7vv-2v7x-gj9p'}, {'url': 'https://nvd.nist.gov/vuln/detail/CVE-2024-34062'}, {'url': 'https://github.com/tqdm/tqdm/commit/4e613f84ed2ae029559f539464df83fa91feb316'}, {'url': 'https://github.com/advisories/GHSA-g7vv-2v7x-gj9p'}]",2024-05-03T19:33:28Z,2024-05-03T19:33:29Z,,"[{'package': {'ecosystem': 'pip', 'name': 'tqdm'}, 'severity': 'low', 'vulnerable_version_range': '>= 4.4.0, < 4.66.3', 'first_patched_version': {'identifier': '4.66.3'}}]",CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:L/I:L/A:N,3.9,"[{'cwe_id': 'CWE-74', 'name': ""Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')""}]",pip,tqdm,low,">= 4.4.0, < 4.66.3",,4.66.3,albumentations
0,10,open,https://api.github.com/repos/fcas/catboost/dependabot/alerts/10,https://github.com/fcas/catboost/security/dependabot/10,2024-05-20T17:41:52Z,2024-05-20T17:41:52Z,,,,,,,rust,atty,catboost/tutorials/apply_model/rust/Cargo.lock,runtime,GHSA-g98v-hv3f-hcfr,,atty potential unaligned read,"On windows, `atty` dereferences a potentially unaligned pointer.

In practice however, the pointer won't be unaligned unless a custom global allocator is used.

In particular, the `System` allocator on windows uses `HeapAlloc`, which guarantees a large enough alignment.

# atty is Unmaintained

A Pull Request with a fix has been provided over a year ago but the maintainer seems to be unreachable.

Last release of `atty` was almost 3 years ago.

## Possible Alternative(s)

The below list has not been vetted in any way and may or may not contain alternatives;

- [std::io::IsTerminal](https://doc.rust-lang.org/stable/std/io/trait.IsTerminal.html) - Stable since Rust 1.70.0
- [is-terminal](https://crates.io/crates/is-terminal) - Standalone crate supporting Rust older than 1.70.0""
",low,"[{'value': 'GHSA-g98v-hv3f-hcfr', 'type': 'GHSA'}]","[{'url': 'https://github.com/softprops/atty/issues/50'}, {'url': 'https://github.com/softprops/atty/pull/51'}, {'url': 'https://rustsec.org/advisories/RUSTSEC-2021-0145.html'}, {'url': 'https://github.com/advisories/GHSA-g98v-hv3f-hcfr'}]",2023-06-30T20:21:59Z,2024-02-14T17:42:45Z,,"[{'package': {'ecosystem': 'rust', 'name': 'atty'}, 'severity': 'low', 'vulnerable_version_range': '<= 0.2.14', 'first_patched_version': None}]",,0.0,[],rust,atty,low,<= 0.2.14,,,catboost
1,9,open,https://api.github.com/repos/fcas/catboost/dependabot/alerts/9,https://github.com/fcas/catboost/security/dependabot/9,2024-05-20T17:41:52Z,2024-05-20T17:41:52Z,,,,,,,maven,org.xerial.snappy:snappy-java,catboost/spark/catboost4j-spark/generate_projects/core/pom.xml,runtime,GHSA-55g7-9cwv-5qfv,CVE-2023-43642,snappy-java's missing upper bound check on chunk length can lead to Denial of Service (DoS) impact,"### Summary

snappy-java is a data compression library in Java. Its SnappyInputStream was found to be vulnerable to Denial of Service (DoS) attacks when decompressing data with a too-large chunk size. Due to missing upper bound check on chunk length, an unrecoverable fatal error can occur. 

### Scope

All versions of snappy-java including the latest released version 1.1.10.3.  A fix is applied in 1.1.10.4

### Details
While performing mitigation efforts related to [CVE-2023-34455](https://nvd.nist.gov/vuln/detail/CVE-2023-34455) in Confluent products, our Application Security team closely analyzed the fix that was accepted and merged into snappy-java version 1.1.10.1 in [this](https://github.com/xerial/snappy-java/commit/3bf67857fcf70d9eea56eed4af7c925671e8eaea) commit. The check on [line 421](https://github.com/xerial/snappy-java/commit/3bf67857fcf70d9eea56eed4af7c925671e8eaea#diff-c3e53610267092989965e8c7dd2d4417d355ff7f560f9e8075b365f32569079fR421) only attempts to check if chunkSize is not a negative value. We believe that this is an inadequate fix as it misses an upper-bounds check for overly positive values such as 0x7FFFFFFF (or (2,147,483,647 in decimal) before actually [attempting to allocate](https://github.com/xerial/snappy-java/commit/3bf67857fcf70d9eea56eed4af7c925671e8eaea#diff-c3e53610267092989965e8c7dd2d4417d355ff7f560f9e8075b365f32569079fR429) the provided unverified number of bytes via the “chunkSize” variable. This missing upper-bounds check can lead to the applications depending upon snappy-java to allocate an inappropriate number of bytes on the heap which can then cause an  java.lang.OutOfMemoryError exception. Under some specific conditions and contexts, this can lead to a Denial-of-Service (DoS) attack with a direct impact on the availability of the dependent implementations based on the usage of the snappy-java library for compression/decompression needs.

### PoC
Compile and run the following code:
```
package org.example;
import org.xerial.snappy.SnappyInputStream;

import java.io.*;

public class Main {

    public static void main(String[] args) throws IOException {
        byte[] data = {-126, 'S', 'N', 'A', 'P', 'P', 'Y', 0, 0, 0, 0, 0, 0, 0, 0, 0,(byte) 0x7f, (byte) 0xff, (byte) 0xff, (byte) 0xff};
        SnappyInputStream in = new SnappyInputStream(new ByteArrayInputStream(data));
        byte[] out = new byte[50];
        try {
            in.read(out);
        }
        catch (Exception ignored) {
        }
    }
}
```

### Impact
Denial of Service of applications dependent on snappy-java especially if `ExitOnOutOfMemoryError` or `CrashOnOutOfMemoryError` is configured on the JVM.

### Credits
Jan Werner, Mukul Khullar and Bharadwaj Machiraju from Confluent's Application Security team. 

We kindly request for a new CVE ID to be assigned once you acknowledge this vulnerability.",high,"[{'value': 'GHSA-55g7-9cwv-5qfv', 'type': 'GHSA'}, {'value': 'CVE-2023-43642', 'type': 'CVE'}]","[{'url': 'https://github.com/xerial/snappy-java/security/advisories/GHSA-55g7-9cwv-5qfv'}, {'url': 'https://github.com/xerial/snappy-java/commit/9f8c3cf74223ed0a8a834134be9c917b9f10ceb5'}, {'url': 'https://github.com/xerial/snappy-java/releases/tag/v1.1.10.4'}, {'url': 'https://nvd.nist.gov/vuln/detail/CVE-2023-43642'}, {'url': 'https://github.com/advisories/GHSA-55g7-9cwv-5qfv'}]",2023-09-25T18:30:18Z,2023-11-07T05:05:02Z,,"[{'package': {'ecosystem': 'maven', 'name': 'org.xerial.snappy:snappy-java'}, 'severity': 'high', 'vulnerable_version_range': '<= 1.1.10.3', 'first_patched_version': {'identifier': '1.1.10.4'}}]",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,"[{'cwe_id': 'CWE-770', 'name': 'Allocation of Resources Without Limits or Throttling'}]",maven,org.xerial.snappy:snappy-java,high,<= 1.1.10.3,,1.1.10.4,catboost
